"","draft_year","overall_pick","draft_team","player_name","college","years_active","total_games_played","total_minutes_played","total_points","total_rebounds","total_assists","fg_pct","fg3_pct","ft_pct","mpg","ppg","rpg","apg","win_shares","ws_per_48","bpm","vorp","educational_prestige","pick_bucket","career_bucket","team_conference"
"1",1989,1,"SAC","Pervis Ellison","Louisville",11,474,11593,4494,3170,691,0.51,0.05,0.689,24.5,9.5,6.7,1.5,21.8,0.09,-0.5,4.4,"PowerSchool","Top5","LongCareer","Western"
"2",1989,2,"LAC","Danny Ferry","Duke",13,917,18133,6439,2550,1185,0.446,0.393,0.84,19.8,7,2.8,1.3,34.8,0.092,-0.9,4.9,"PowerSchool","Top5","LongCareer","Western"
"3",1989,3,"SAS","Sean Elliott","Arizona",12,742,24502,10544,3204,1897,0.465,0.375,0.799,33,14.2,4.3,2.6,55.7,0.109,0.2,13.5,"OtherCollege","Top5","LongCareer","Western"
"4",1989,4,"MIA","Glen Rice","Michigan",15,1000,34985,18336,4387,2097,0.456,0.4,0.846,35,18.3,4.4,2.1,88.7,0.122,0.8,24.9,"OtherCollege","Top5","LongCareer","Eastern"
"5",1989,5,"NOP","J.R. Reid","UNC",11,672,15370,5680,3381,639,0.472,0.135,0.716,22.9,8.5,5,1,22.5,0.07,-2.9,-3.7,"OtherCollege","Top5","LongCareer","Western"
"6",1989,6,"CHI","Stacey King","Oklahoma",8,438,7406,2819,1460,387,0.478,0.235,0.707,16.9,6.4,3.3,0.9,10.9,0.071,-3.4,-2.7,"OtherCollege","Lottery","AverageCareer","Eastern"
"7",1989,7,"IND","George McCloud","Florida State",12,766,17429,6925,2342,1769,0.402,0.358,0.81,22.8,9,3.1,2.3,24.6,0.068,-0.8,5.3,"OtherCollege","Lottery","LongCareer","Eastern"
"8",1989,8,"DAL","Randy White","Louisiana Tech",5,281,5382,2083,1366,175,0.401,0.193,0.707,19.2,7.4,4.9,0.6,1.9,0.017,-5,-4,"OtherCollege","Lottery","AverageCareer","Western"
"9",1989,9,"WAS","Tom Hammonds","Georgia Tech",12,687,10419,3617,2243,378,0.48,0,0.691,15.2,5.3,3.3,0.6,14.7,0.068,-3.8,-4.7,"OtherCollege","Lottery","LongCareer","Eastern"
"10",1989,10,"MIN","Pooh Richardson","UCLA",10,639,19399,7083,1807,4180,0.444,0.329,0.652,30.4,11.1,2.8,6.5,26.7,0.066,0.2,10.5,"PowerSchool","Lottery","LongCareer","Western"
"11",1989,11,"ORL","Nick Anderson","Illinois",13,800,24922,11529,4064,2087,0.446,0.356,0.667,31.2,14.4,5.1,2.6,55.3,0.106,1.9,24.7,"OtherCollege","Lottery","LongCareer","Eastern"
"12",1989,12,"BRK","Mookie Blaylock","Oklahoma",13,889,31026,11962,3659,5972,0.409,0.336,0.736,34.9,13.5,4.1,6.7,71.8,0.111,3,39.2,"OtherCollege","Lottery","LongCareer","Eastern"
"13",1989,13,"BOS","Michael Smith","BYU",3,141,1328,698,212,142,0.474,0.15,0.835,9.4,5,1.5,1,1.4,0.049,-3.6,-0.5,"OtherCollege","Lottery","ShortCareer","Eastern"
"14",1989,14,"GSW","Tim Hardaway","Texas-El Paso",13,867,30626,15373,2855,7095,0.431,0.355,0.782,35.3,17.7,3.3,8.2,85,0.133,3.1,39.6,"OtherCollege","Lottery","LongCareer","Western"
"15",1989,15,"DEN","Todd Lichti","Stanford",5,237,4240,1870,505,325,0.46,0.244,0.789,17.9,7.9,2.1,1.4,5.6,0.063,-2.5,-0.5,"OtherCollege","MidtoLateFirst","AverageCareer","Western"
"16",1989,16,"OKC","Dana Barros","Boston College",14,850,19480,8901,1609,2837,0.46,0.411,0.858,22.9,10.5,1.9,3.3,49.6,0.122,1.7,18.1,"OtherCollege","MidtoLateFirst","LongCareer","Western"
"17",1989,17,"OKC","Shawn Kemp","Trinity Valley CC",14,1051,29293,15347,8834,1704,0.488,0.277,0.741,27.9,14.6,8.4,1.6,89.5,0.147,0.6,19.4,"OtherCollege","MidtoLateFirst","LongCareer","Western"
"18",1989,18,"CHI","B.J. Armstrong","Iowa",11,747,17790,7320,1321,2479,0.477,0.425,0.856,23.8,9.8,1.8,3.3,45,0.121,-0.2,8.1,"OtherCollege","MidtoLateFirst","LongCareer","Eastern"
"19",1989,19,"PHI","Kenny Payne","Louisville",4,144,1167,508,170,61,0.41,0.293,0.859,8.1,3.5,1.2,0.4,-0.1,-0.005,-4.9,-0.9,"PowerSchool","MidtoLateFirst","ShortCareer","Eastern"
