"","overall_pick","draft_team","total_games_played","educational_prestige","pick_bucket","career_bucket","team_conference"
"1303","15","ATL","479","PowerSchool","MidtoLateFirst","LongCareer","Eastern"
"1304","16","BOS","477","PowerSchool","MidtoLateFirst","LongCareer","Eastern"
"1305","17","MIL","139","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"1306","18","HOU","201","OtherCollege","MidtoLateFirst","AverageCareer","Western"
"1307","19","WAS","279","OtherCollege","MidtoLateFirst","AverageCareer","Eastern"
"1308","20","TOR","411","OtherCollege","MidtoLateFirst","AverageCareer","Eastern"
"1309","21","DAL","242","OtherCollege","MidtoLateFirst","AverageCareer","Western"
"1310","22","CHI","453","OtherCollege","MidtoLateFirst","LongCareer","Eastern"
"1311","23","POR","305","OtherCollege","MidtoLateFirst","AverageCareer","Western"
"1312","24","CLE","455","PowerSchool","MidtoLateFirst","LongCareer","Eastern"
"1313","25","MEM","184","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"1314","27","LAL","396","OtherCollege","MidtoLateFirst","AverageCareer","Western"
"1315","28","BOS","45","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"1316","29","BRK","59","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"1317","30","GSW","367","PowerSchool","MidtoLateFirst","AverageCareer","Western"
"1318","31","MIN","327","NonCollegiate","SecondRound","AverageCareer","Western"
"1319","32","HOU","458","PowerSchool","SecondRound","LongCareer","Western"
"1320","33","BOS","64","OtherCollege","SecondRound","ShortCareer","Eastern"
"1321","34","LAL","41","OtherCollege","SecondRound","ShortCareer","Western"
"1322","35","PHI","306","NonCollegiate","SecondRound","AverageCareer","Eastern"
"1323","36","MIN","30","OtherCollege","SecondRound","ShortCareer","Western"
"1324","37","PHI","376","OtherCollege","SecondRound","AverageCareer","Eastern"
"1325","38","DET","91","PowerSchool","SecondRound","ShortCareer","Eastern"
"1326","40","MIA","438","OtherCollege","SecondRound","AverageCareer","Eastern"
"1327","41","BRK","417","OtherCollege","SecondRound","AverageCareer","Eastern"
"1328","43","IND","127","OtherCollege","SecondRound","ShortCareer","Eastern"
"1329","44","PHO","145","PowerSchool","SecondRound","ShortCareer","Western"
"1330","46","MIL","421","PowerSchool","SecondRound","AverageCareer","Eastern"
"1331","48","OKC","31","PowerSchool","SecondRound","ShortCareer","Western"
"1332","56","NOP","6","OtherCollege","SecondRound","ShortCareer","Western"
"1333","1","PHI","275","OtherCollege","Top5","AverageCareer","Eastern"
"1334","2","LAL","368","PowerSchool","Top5","AverageCareer","Western"
"1335","3","BOS","403","OtherCollege","Top5","AverageCareer","Eastern"
"1336","4","PHO","187","NonCollegiate","Top5","ShortCareer","Western"
"1337","5","MIN","245","OtherCollege","Top5","AverageCareer","Western"
"1338","6","NOP","468","OtherCollege","Lottery","LongCareer","Western"
"1339","7","DEN","345","PowerSchool","Lottery","AverageCareer","Western"
"1340","8","SAC","292","OtherCollege","Lottery","AverageCareer","Western"
"1341","9","TOR","416","OtherCollege","Lottery","AverageCareer","Eastern"
"1342","10","MIL","263","NonCollegiate","Lottery","AverageCareer","Eastern"
"1343","11","ORL","415","OtherCollege","Lottery","AverageCareer","Eastern"
"1344","12","UTA","370","OtherCollege","Lottery","AverageCareer","Western"
"1345","13","PHO","39","NonCollegiate","Lottery","ShortCareer","Western"
"1346","14","CHI","256","OtherCollege","Lottery","AverageCareer","Eastern"
"1347","15","DEN","297","NonCollegiate","MidtoLateFirst","AverageCareer","Western"
"1348","16","BOS","74","NonCollegiate","MidtoLateFirst","ShortCareer","Eastern"
"1349","17","MEM","56","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"1350","18","DET","83","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"1351","19","DEN","336","OtherCollege","MidtoLateFirst","AverageCareer","Western"
"1352","20","IND","318","OtherCollege","MidtoLateFirst","AverageCareer","Eastern"
"1353","21","ATL","296","OtherCollege","MidtoLateFirst","AverageCareer","Eastern"
"1354","22","CHO","70","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
