"","overall_pick","draft_team","total_games_played","educational_prestige","pick_bucket","career_bucket","team_conference"
"1572","14","BOS","98","OtherCollege","Lottery","ShortCareer","Eastern"
"1573","15","ORL","112","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"1574","16","POR","139","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"1575","17","MIN","106","NonCollegiate","MidtoLateFirst","ShortCareer","Western"
"1576","18","DAL","106","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"1577","19","BRK","152","PowerSchool","MidtoLateFirst","ShortCareer","Eastern"
"1578","20","MIA","134","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"1579","21","PHI","136","PowerSchool","MidtoLateFirst","ShortCareer","Eastern"
"1580","22","DEN","83","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"1581","23","NYK","35","NonCollegiate","MidtoLateFirst","ShortCareer","Eastern"
"1582","24","MIL","115","NonCollegiate","MidtoLateFirst","ShortCareer","Eastern"
"1583","25","OKC","142","PowerSchool","MidtoLateFirst","ShortCareer","Western"
"1584","26","BOS","137","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"1585","27","UTA","32","PowerSchool","MidtoLateFirst","ShortCareer","Western"
"1586","28","LAL","133","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"1587","29","TOR","91","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"1588","30","BOS","144","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"1589","31","DAL","13","OtherCollege","SecondRound","ShortCareer","Western"
"1590","32","CHO","26","PowerSchool","SecondRound","ShortCareer","Eastern"
"1591","33","MIN","33","OtherCollege","SecondRound","ShortCareer","Western"
"1592","34","PHI","116","NonCollegiate","SecondRound","ShortCareer","Eastern"
"1593","35","SAC","112","OtherCollege","SecondRound","ShortCareer","Western"
"1594","36","PHI","18","OtherCollege","SecondRound","ShortCareer","Eastern"
"1595","37","WAS","30","NonCollegiate","SecondRound","ShortCareer","Eastern"
"1596","38","UTA","85","OtherCollege","SecondRound","ShortCareer","Western"
"1597","39","NOP","54","OtherCollege","SecondRound","ShortCareer","Western"
"1598","40","MEM","25","OtherCollege","SecondRound","ShortCareer","Western"
"1599","41","SAS","106","PowerSchool","SecondRound","ShortCareer","Western"
"1600","42","NOP","68","PowerSchool","SecondRound","ShortCareer","Western"
"1601","43","SAC","32","OtherCollege","SecondRound","ShortCareer","Western"
"1602","44","CHI","9","NonCollegiate","SecondRound","ShortCareer","Eastern"
"1603","45","MIL","92","PowerSchool","SecondRound","ShortCareer","Eastern"
"1604","46","POR","88","OtherCollege","SecondRound","ShortCareer","Western"
"1605","48","GSW","30","OtherCollege","SecondRound","ShortCareer","Western"
"1606","49","PHI","96","OtherCollege","SecondRound","ShortCareer","Eastern"
"1607","50","ATL","61","OtherCollege","SecondRound","ShortCareer","Eastern"
"1608","52","SAC","124","NonCollegiate","SecondRound","ShortCareer","Western"
"1609","53","OKC","29","OtherCollege","SecondRound","ShortCareer","Western"
"1610","54","IND","33","PowerSchool","SecondRound","ShortCareer","Eastern"
"1611","55","BRK","22","OtherCollege","SecondRound","ShortCareer","Eastern"
"1612","56","CHO","7","OtherCollege","SecondRound","ShortCareer","Eastern"
"1613","57","LAC","36","OtherCollege","SecondRound","ShortCareer","Western"
"1614","58","PHI","64","OtherCollege","SecondRound","ShortCareer","Eastern"
"1615","59","TOR","13","OtherCollege","SecondRound","ShortCareer","Eastern"
"1616","60","NOP","36","OtherCollege","SecondRound","ShortCareer","Western"
"1617","1","DET","64","OtherCollege","Top5","ShortCareer","Eastern"
"1618","2","HOU","67","NonCollegiate","Top5","ShortCareer","Western"
"1619","3","CLE","69","OtherCollege","Top5","ShortCareer","Eastern"
"1620","4","TOR","74","OtherCollege","Top5","ShortCareer","Eastern"
"1621","5","ORL","48","OtherCollege","Top5","ShortCareer","Eastern"
"1622","6","OKC","54","NonCollegiate","Lottery","ShortCareer","Western"
"1623","7","GSW","70","NonCollegiate","Lottery","ShortCareer","Western"
"1624","8","ORL","79","OtherCollege","Lottery","ShortCareer","Eastern"
"1625","9","SAC","75","OtherCollege","Lottery","ShortCareer","Western"
"1626","10","NOP","62","OtherCollege","Lottery","ShortCareer","Western"
"1627","11","CHO","31","PowerSchool","Lottery","ShortCareer","Eastern"
"1628","12","SAS","50","OtherCollege","Lottery","ShortCareer","Western"
"1629","13","IND","55","OtherCollege","Lottery","ShortCareer","Eastern"
"1630","14","GSW","52","OtherCollege","Lottery","ShortCareer","Western"
"1631","15","WAS","77","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"1632","16","OKC","72","NonCollegiate","MidtoLateFirst","ShortCareer","Western"
"1633","17","MEM","62","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"1634","18","OKC","60","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"1635","19","NYK","21","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"1636","20","ATL","22","PowerSchool","MidtoLateFirst","ShortCareer","Eastern"
"1637","21","NYK","37","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"1638","22","LAL","36","PowerSchool","MidtoLateFirst","ShortCareer","Western"
"1639","23","HOU","24","NonCollegiate","MidtoLateFirst","ShortCareer","Western"
"1640","24","HOU","74","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"1641","25","LAC","46","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"1642","26","DEN","69","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"1643","27","BRK","67","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"1644","28","PHI","2","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"1645","29","PHO","32","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"1646","30","UTA","32","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"1647","31","MIL","12","NonCollegiate","SecondRound","ShortCareer","Eastern"
"1648","32","NYK","49","PowerSchool","SecondRound","ShortCareer","Eastern"
"1649","35","NOP","78","OtherCollege","SecondRound","ShortCareer","Western"
"1650","36","OKC","40","OtherCollege","SecondRound","ShortCareer","Western"
"1651","37","DET","33","OtherCollege","SecondRound","ShortCareer","Eastern"
"1652","38","CHI","77","OtherCollege","SecondRound","ShortCareer","Eastern"
"1653","39","SAC","14","OtherCollege","SecondRound","ShortCareer","Western"
"1654","40","NOP","42","OtherCollege","SecondRound","ShortCareer","Western"
"1655","41","SAS","29","OtherCollege","SecondRound","ShortCareer","Western"
"1656","42","DET","19","OtherCollege","SecondRound","ShortCareer","Eastern"
"1657","43","NOP","48","OtherCollege","SecondRound","ShortCareer","Western"
"1658","44","BRK","48","OtherCollege","SecondRound","ShortCareer","Eastern"
"1659","46","TOR","64","OtherCollege","SecondRound","ShortCareer","Eastern"
"1660","47","TOR","2","PowerSchool","SecondRound","ShortCareer","Eastern"
"1661","48","ATL","13","OtherCollege","SecondRound","ShortCareer","Eastern"
"1662","51","MEM","51","PowerSchool","SecondRound","ShortCareer","Western"
"1663","52","DET","32","OtherCollege","SecondRound","ShortCareer","Eastern"
"1664","53","PHI","23","OtherCollege","SecondRound","ShortCareer","Eastern"
"1665","54","IND","41","OtherCollege","SecondRound","ShortCareer","Eastern"
"1666","55","OKC","50","OtherCollege","SecondRound","ShortCareer","Western"
"1667","56","CHO","2","OtherCollege","SecondRound","ShortCareer","Eastern"
"1668","58","NYK","41","OtherCollege","SecondRound","ShortCareer","Eastern"
"1669","60","IND","13","NonCollegiate","SecondRound","ShortCareer","Eastern"
