"","mpg","overall_pick","pick_bucket","educational_prestige","team_conference"
"120",20.9,12,"Lottery","OtherCollege","Eastern"
"121",27.1,13,"Lottery","OtherCollege","Eastern"
"122",4.3,14,"Lottery","OtherCollege","Western"
"123",19.1,15,"MidtoLateFirst","OtherCollege","Eastern"
"124",19.7,16,"MidtoLateFirst","OtherCollege","Western"
"125",20.1,17,"MidtoLateFirst","OtherCollege","Western"
"126",8.2,18,"MidtoLateFirst","OtherCollege","Eastern"
"127",17.1,19,"MidtoLateFirst","PowerSchool","Eastern"
"128",8.2,20,"MidtoLateFirst","OtherCollege","Western"
"129",23.4,21,"MidtoLateFirst","OtherCollege","Western"
"130",9.4,22,"MidtoLateFirst","OtherCollege","Western"
"131",19.6,23,"MidtoLateFirst","OtherCollege","Eastern"
"132",25.5,24,"MidtoLateFirst","OtherCollege","Eastern"
"134",7,26,"MidtoLateFirst","PowerSchool","Eastern"
"135",14.4,27,"MidtoLateFirst","OtherCollege","Western"
"136",12,28,"MidtoLateFirst","OtherCollege","Western"
"138",8.2,30,"MidtoLateFirst","OtherCollege","Eastern"
"139",17.6,31,"SecondRound","OtherCollege","Western"
"140",1.5,32,"SecondRound","OtherCollege","Western"
"141",14.1,33,"SecondRound","OtherCollege","Western"
"142",5.8,34,"SecondRound","OtherCollege","Western"
"143",25,35,"SecondRound","OtherCollege","Western"
"144",11.7,36,"SecondRound","OtherCollege","Eastern"
"145",17.3,37,"SecondRound","OtherCollege","Western"
"147",11,39,"SecondRound","OtherCollege","Eastern"
"148",14.6,40,"SecondRound","OtherCollege","Eastern"
"149",8,41,"SecondRound","OtherCollege","Eastern"
"151",11.9,43,"SecondRound","OtherCollege","Western"
"153",28.7,45,"SecondRound","OtherCollege","Eastern"
"154",21.8,46,"SecondRound","OtherCollege","Western"
"156",19.3,48,"SecondRound","OtherCollege","Western"
"157",11.6,49,"SecondRound","OtherCollege","Western"
"159",14.6,51,"SecondRound","NonCollegiate","Western"
"163",34.7,1,"Top5","OtherCollege","Eastern"
"164",31,2,"Top5","OtherCollege","Western"
"165",29.7,3,"Top5","PowerSchool","Western"
"166",32.8,4,"Top5","OtherCollege","Western"
"167",28.2,5,"Top5","OtherCollege","Western"
"168",30.9,6,"Lottery","OtherCollege","Eastern"
"169",26.6,7,"Lottery","OtherCollege","Western"
"170",25.3,8,"Lottery","OtherCollege","Eastern"
"171",30.3,9,"Lottery","OtherCollege","Eastern"
"172",16.7,10,"Lottery","OtherCollege","Eastern"
"173",24.5,11,"Lottery","OtherCollege","Western"
"174",18.7,12,"Lottery","OtherCollege","Eastern"
"175",28,13,"Lottery","OtherCollege","Western"
"176",23.8,14,"Lottery","OtherCollege","Eastern"
"177",24.7,15,"MidtoLateFirst","OtherCollege","Western"
"178",7.2,16,"MidtoLateFirst","OtherCollege","Western"
"179",31.5,17,"MidtoLateFirst","OtherCollege","Western"
"180",18.4,18,"MidtoLateFirst","PowerSchool","Western"
"181",20.9,19,"MidtoLateFirst","PowerSchool","Eastern"
"182",22.1,20,"MidtoLateFirst","OtherCollege","Eastern"
"183",16.9,21,"MidtoLateFirst","OtherCollege","Eastern"
"184",23,22,"MidtoLateFirst","OtherCollege","Western"
"185",20.8,23,"MidtoLateFirst","OtherCollege","Eastern"
"186",38.6,24,"MidtoLateFirst","OtherCollege","Western"
"187",16.8,25,"MidtoLateFirst","OtherCollege","Western"
"188",8.1,26,"MidtoLateFirst","OtherCollege","Western"
"189",12.5,27,"MidtoLateFirst","OtherCollege","Eastern"
"190",11.7,28,"MidtoLateFirst","OtherCollege","Western"
"191",31.1,29,"MidtoLateFirst","OtherCollege","Eastern"
"192",18.1,30,"MidtoLateFirst","OtherCollege","Western"
"193",5.8,31,"SecondRound","OtherCollege","Western"
"194",16.8,32,"SecondRound","OtherCollege","Eastern"
"195",7.4,33,"SecondRound","OtherCollege","Eastern"
"196",17.7,34,"SecondRound","PowerSchool","Western"
"197",12.4,35,"SecondRound","OtherCollege","Western"
"198",8.9,36,"SecondRound","OtherCollege","Western"
"199",4.1,37,"SecondRound","OtherCollege","Eastern"
"200",7.6,38,"SecondRound","OtherCollege","Eastern"
"201",8,39,"SecondRound","OtherCollege","Eastern"
"203",23.5,41,"SecondRound","OtherCollege","Western"
"204",22.1,42,"SecondRound","OtherCollege","Eastern"
"205",31.1,43,"SecondRound","NonCollegiate","Western"
"207",20,45,"SecondRound","OtherCollege","Western"
"208",5.8,46,"SecondRound","OtherCollege","Western"
"209",16,47,"SecondRound","OtherCollege","Eastern"
"210",5.5,48,"SecondRound","PowerSchool","Western"
"212",10.2,50,"SecondRound","OtherCollege","Western"
