"","total_minutes_played","overall_pick","pick_bucket","educational_prestige","team_conference"
"577",17306,22,"MidtoLateFirst","OtherCollege","Western"
"578",11682,23,"MidtoLateFirst","OtherCollege","Western"
"579",23916,24,"MidtoLateFirst","NonCollegiate","Western"
"580",261,25,"MidtoLateFirst","OtherCollege","Eastern"
"581",3789,26,"MidtoLateFirst","OtherCollege","Eastern"
"582",9780,27,"MidtoLateFirst","OtherCollege","Eastern"
"583",5613,28,"MidtoLateFirst","PowerSchool","Western"
"584",104,29,"MidtoLateFirst","NonCollegiate","Western"
"585",185,30,"MidtoLateFirst","PowerSchool","Western"
"587",5966,32,"SecondRound","OtherCollege","Eastern"
"588",1005,33,"SecondRound","OtherCollege","Western"
"589",2138,34,"SecondRound","OtherCollege","Eastern"
"590",4477,35,"SecondRound","OtherCollege","Eastern"
"591",1256,36,"SecondRound","NonCollegiate","Western"
"592",1516,37,"SecondRound","OtherCollege","Western"
"593",1537,38,"SecondRound","OtherCollege","Eastern"
"594",61,39,"SecondRound","OtherCollege","Eastern"
"595",8824,40,"SecondRound","NonCollegiate","Western"
"596",7207,41,"SecondRound","OtherCollege","Western"
"598",5820,43,"SecondRound","OtherCollege","Western"
"600",25,45,"SecondRound","PowerSchool","Western"
"602",3439,47,"SecondRound","OtherCollege","Eastern"
"604",139,49,"SecondRound","OtherCollege","Eastern"
"608",4182,53,"SecondRound","OtherCollege","Eastern"
"611",137,56,"SecondRound","OtherCollege","Western"
"612",26859,57,"SecondRound","NonCollegiate","Western"
"614",23134,1,"Top5","PowerSchool","Eastern"
"615",10804,2,"Top5","OtherCollege","Western"
"616",11730,3,"Top5","NonCollegiate","Western"
"617",6032,4,"Top5","OtherCollege","Eastern"
"618",27812,5,"Top5","OtherCollege","Eastern"
"619",5930,6,"Lottery","PowerSchool","Eastern"
"620",8758,7,"Lottery","OtherCollege","Eastern"
"621",38994,8,"Lottery","OtherCollege","Eastern"
"622",11733,9,"Lottery","OtherCollege","Western"
"623",14134,10,"Lottery","OtherCollege","Eastern"
"624",1392,11,"Lottery","PowerSchool","Eastern"
"625",7084,12,"Lottery","OtherCollege","Western"
"626",4067,13,"Lottery","OtherCollege","Eastern"
"627",1863,14,"Lottery","OtherCollege","Eastern"
"628",2178,15,"MidtoLateFirst","OtherCollege","Eastern"
"629",26695,16,"MidtoLateFirst","NonCollegiate","Western"
"630",19641,17,"MidtoLateFirst","OtherCollege","Western"
"631",20785,18,"MidtoLateFirst","OtherCollege","Western"
"632",14621,19,"MidtoLateFirst","PowerSchool","Western"
"633",8548,20,"MidtoLateFirst","OtherCollege","Eastern"
"634",19366,21,"MidtoLateFirst","OtherCollege","Eastern"
"635",3318,22,"MidtoLateFirst","OtherCollege","Eastern"
"636",18396,23,"MidtoLateFirst","NonCollegiate","Western"
"637",973,24,"MidtoLateFirst","NonCollegiate","Eastern"
"638",5005,25,"MidtoLateFirst","NonCollegiate","Western"
"639",858,26,"MidtoLateFirst","OtherCollege","Western"
"640",6192,27,"MidtoLateFirst","NonCollegiate","Eastern"
"641",266,28,"MidtoLateFirst","OtherCollege","Western"
"642",5335,29,"MidtoLateFirst","OtherCollege","Western"
"643",11246,30,"MidtoLateFirst","NonCollegiate","Western"
"644",1253,31,"SecondRound","OtherCollege","Western"
"645",1246,32,"SecondRound","PowerSchool","Eastern"
"646",6443,33,"SecondRound","PowerSchool","Eastern"
"647",936,34,"SecondRound","PowerSchool","Eastern"
"648",180,35,"SecondRound","OtherCollege","Eastern"
"649",303,36,"SecondRound","NonCollegiate","Eastern"
"650",12405,37,"SecondRound","OtherCollege","Eastern"
"651",11213,38,"SecondRound","OtherCollege","Western"
"652",446,39,"SecondRound","OtherCollege","Eastern"
"653",2360,40,"SecondRound","OtherCollege","Eastern"
"655",587,42,"SecondRound","NonCollegiate","Western"
"656",20104,43,"SecondRound","OtherCollege","Eastern"
"657",6477,44,"SecondRound","OtherCollege","Eastern"
"658",1063,45,"SecondRound","OtherCollege","Western"
"662",5289,49,"SecondRound","OtherCollege","Eastern"
"663",85,50,"SecondRound","OtherCollege","Western"
"664",244,51,"SecondRound","NonCollegiate","Western"
"665",21,52,"SecondRound","OtherCollege","Eastern"
"666",58,53,"SecondRound","OtherCollege","Western"
"668",1147,55,"SecondRound","OtherCollege","Western"
"672",13389,1,"Top5","NonCollegiate","Eastern"
"673",31617,2,"Top5","NonCollegiate","Western"
"674",41001,3,"Top5","NonCollegiate","Eastern"
"675",13109,4,"Top5","NonCollegiate","Eastern"
"676",29241,5,"Top5","OtherCollege","Western"
"677",30004,6,"Lottery","PowerSchool","Western"
"678",6729,7,"Lottery","OtherCollege","Eastern"
"679",8403,8,"Lottery","NonCollegiate","Eastern"
"680",3354,9,"Lottery","OtherCollege","Eastern"
"681",44236,10,"Lottery","OtherCollege","Eastern"
"682",1935,11,"Lottery","OtherCollege","Eastern"
"683",16164,12,"Lottery","NonCollegiate","Western"
"684",34293,13,"Lottery","OtherCollege","Western"
"685",19921,14,"Lottery","OtherCollege","Western"
"686",5993,15,"MidtoLateFirst","OtherCollege","Eastern"
"687",134,16,"MidtoLateFirst","PowerSchool","Western"
"688",2016,17,"MidtoLateFirst","PowerSchool","Eastern"
"689",14974,18,"MidtoLateFirst","OtherCollege","Western"
"690",34616,19,"MidtoLateFirst","OtherCollege","Western"
"691",18680,20,"MidtoLateFirst","OtherCollege","Eastern"
"692",125,21,"MidtoLateFirst","OtherCollege","Eastern"
"693",1061,22,"MidtoLateFirst","OtherCollege","Eastern"
"694",699,23,"MidtoLateFirst","OtherCollege","Western"
"695",2135,24,"MidtoLateFirst","NonCollegiate","Western"
"696",24731,25,"MidtoLateFirst","OtherCollege","Western"
"697",21646,26,"MidtoLateFirst","OtherCollege","Eastern"
"698",14443,27,"MidtoLateFirst","OtherCollege","Western"
"699",38279,28,"MidtoLateFirst","NonCollegiate","Western"
"700",16278,30,"MidtoLateFirst","OtherCollege","Eastern"
"701",19351,31,"SecondRound","OtherCollege","Western"
"702",213,32,"SecondRound","OtherCollege","Eastern"
"703",1584,33,"SecondRound","OtherCollege","Western"
"704",1934,34,"SecondRound","OtherCollege","Eastern"
"705",6772,35,"SecondRound","OtherCollege","Eastern"
"706",270,36,"SecondRound","OtherCollege","Eastern"
"707",351,37,"SecondRound","OtherCollege","Eastern"
"708",18429,38,"SecondRound","NonCollegiate","Eastern"
"710",19494,40,"SecondRound","PowerSchool","Western"
"711",468,41,"SecondRound","OtherCollege","Eastern"
"712",11513,42,"SecondRound","OtherCollege","Western"
"715",550,45,"SecondRound","OtherCollege","Eastern"
"716",2428,46,"SecondRound","OtherCollege","Western"
"718",320,48,"SecondRound","NonCollegiate","Western"
"719",156,49,"SecondRound","OtherCollege","Eastern"
"720",276,50,"SecondRound","OtherCollege","Western"
"721",524,51,"SecondRound","OtherCollege","Western"
"723",8542,53,"SecondRound","OtherCollege","Western"
"724",1062,54,"SecondRound","PowerSchool","Western"
"727",126,57,"SecondRound","OtherCollege","Eastern"
"729",15818,1,"Top5","NonCollegiate","Western"
"730",1961,2,"Top5","PowerSchool","Eastern"
"731",27340,3,"Top5","PowerSchool","Western"
"732",20127,4,"Top5","PowerSchool","Western"
"733",1946,5,"Top5","NonCollegiate","Western"
"734",2202,6,"Lottery","OtherCollege","Eastern"
"735",25237,7,"Lottery","NonCollegiate","Eastern"
"736",12474,8,"Lottery","OtherCollege","Western"
"737",26254,9,"Lottery","NonCollegiate","Western"
"738",28333,10,"Lottery","PowerSchool","Eastern"
"739",13579,11,"Lottery","PowerSchool","Eastern"
"740",6005,12,"Lottery","OtherCollege","Western"
"741",854,13,"Lottery","OtherCollege","Eastern"
"742",10299,14,"Lottery","OtherCollege","Eastern"
"743",5628,15,"MidtoLateFirst","NonCollegiate","Western"
"744",4596,16,"MidtoLateFirst","NonCollegiate","Eastern"
"745",8509,17,"MidtoLateFirst","OtherCollege","Eastern"
"746",1117,18,"MidtoLateFirst","OtherCollege","Eastern"
"747",772,19,"MidtoLateFirst","OtherCollege","Western"
"748",5956,20,"MidtoLateFirst","OtherCollege","Eastern"
"749",2060,21,"MidtoLateFirst","OtherCollege","Western"
"750",5320,22,"MidtoLateFirst","OtherCollege","Western"
"751",31576,23,"MidtoLateFirst","PowerSchool","Eastern"
"752",10547,24,"MidtoLateFirst","NonCollegiate","Eastern"
"753",952,25,"MidtoLateFirst","OtherCollege","Western"
"754",23672,26,"MidtoLateFirst","OtherCollege","Western"
"755",861,27,"MidtoLateFirst","OtherCollege","Western"
"756",4617,28,"MidtoLateFirst","OtherCollege","Western"
"758",9147,31,"SecondRound","OtherCollege","Eastern"
"759",328,32,"SecondRound","OtherCollege","Western"
"760",1381,33,"SecondRound","OtherCollege","Western"
"761",7793,34,"SecondRound","PowerSchool","Eastern"
"762",26901,35,"SecondRound","PowerSchool","Eastern"
"764",1264,37,"SecondRound","NonCollegiate","Eastern"
"765",35,38,"SecondRound","OtherCollege","Western"
"767",2117,40,"SecondRound","NonCollegiate","Eastern"
"768",569,41,"SecondRound","NonCollegiate","Western"
"769",11077,42,"SecondRound","OtherCollege","Eastern"
"771",1884,44,"SecondRound","OtherCollege","Eastern"
"773",21967,46,"SecondRound","PowerSchool","Western"
"774",631,47,"SecondRound","OtherCollege","Western"
"775",6,48,"SecondRound","OtherCollege","Eastern"
"777",9229,50,"SecondRound","OtherCollege","Eastern"
"780",17219,53,"SecondRound","OtherCollege","Eastern"
"781",517,54,"SecondRound","OtherCollege","Eastern"
"783",19001,56,"SecondRound","NonCollegiate","Western"
"784",11,57,"SecondRound","OtherCollege","Western"
"785",110,58,"SecondRound","OtherCollege","Western"
"786",52139,1,"Top5","NonCollegiate","Eastern"
"787",8638,2,"Top5","NonCollegiate","Eastern"
"788",43514,3,"Top5","OtherCollege","Western"
"789",31936,4,"Top5","OtherCollege","Eastern"
"790",35773,5,"Top5","OtherCollege","Eastern"
"791",19642,6,"Lottery","OtherCollege","Western"
"792",27015,7,"Lottery","PowerSchool","Eastern"
"793",11882,8,"Lottery","OtherCollege","Eastern"
"794",3610,9,"Lottery","OtherCollege","Eastern"
"795",9898,10,"Lottery","OtherCollege","Eastern"
"796",11950,11,"Lottery","NonCollegiate","Western"
"797",18603,12,"Lottery","PowerSchool","Western"
"798",5571,13,"Lottery","OtherCollege","Western"
"799",21623,14,"Lottery","OtherCollege","Western"
"800",605,15,"MidtoLateFirst","PowerSchool","Eastern"
"801",34,16,"MidtoLateFirst","OtherCollege","Eastern"
"802",1550,17,"MidtoLateFirst","NonCollegiate","Western"
"803",29144,18,"MidtoLateFirst","OtherCollege","Western"
"804",8888,19,"MidtoLateFirst","NonCollegiate","Western"
"805",9799,20,"MidtoLateFirst","PowerSchool","Eastern"
"806",28768,21,"MidtoLateFirst","NonCollegiate","Eastern"
"807",1584,22,"MidtoLateFirst","NonCollegiate","Eastern"
"808",13026,23,"MidtoLateFirst","NonCollegiate","Western"
"809",5649,24,"MidtoLateFirst","OtherCollege","Western"
"810",11580,25,"MidtoLateFirst","NonCollegiate","Eastern"
"811",86,26,"MidtoLateFirst","NonCollegiate","Western"
"812",17162,27,"MidtoLateFirst","NonCollegiate","Western"
"813",18386,28,"MidtoLateFirst","NonCollegiate","Western"
"814",15350,29,"MidtoLateFirst","OtherCollege","Western"
"815",632,30,"MidtoLateFirst","NonCollegiate","Eastern"
"816",9068,31,"SecondRound","PowerSchool","Eastern"
"817",9685,32,"SecondRound","OtherCollege","Western"
"818",5,33,"SecondRound","OtherCollege","Eastern"
"822",507,37,"SecondRound","OtherCollege","Eastern"
"823",20823,38,"SecondRound","OtherCollege","Eastern"
"824",3,39,"SecondRound","NonCollegiate","Eastern"
"825",32,40,"SecondRound","OtherCollege","Western"
"826",14783,41,"SecondRound","OtherCollege","Western"
"827",22240,42,"SecondRound","NonCollegiate","Eastern"
"828",14527,43,"SecondRound","PowerSchool","Eastern"
"830",13356,45,"SecondRound","OtherCollege","Eastern"
"832",23872,47,"SecondRound","OtherCollege","Western"
"833",55,48,"SecondRound","NonCollegiate","Western"
"834",11098,49,"SecondRound","OtherCollege","Eastern"
"836",31183,51,"SecondRound","OtherCollege","Eastern"
"841",630,56,"SecondRound","OtherCollege","Eastern"
"843",81,58,"SecondRound","NonCollegiate","Eastern"
"844",39457,1,"Top5","NonCollegiate","Eastern"
"845",19055,2,"Top5","PowerSchool","Eastern"
"846",20366,3,"Top5","PowerSchool","Eastern"
"847",17188,4,"Top5","NonCollegiate","Western"
"848",23963,5,"Top5","OtherCollege","Eastern"
"849",10432,6,"Lottery","OtherCollege","Eastern"
"850",30941,7,"Lottery","PowerSchool","Western"
"851",1585,8,"Lottery","OtherCollege","Eastern"
"852",39394,9,"Lottery","OtherCollege","Eastern"
"853",724,10,"Lottery","OtherCollege","Eastern"
"854",11146,11,"Lottery","NonCollegiate","Western"
"855",1500,12,"Lottery","NonCollegiate","Western"
"856",12149,13,"Lottery","NonCollegiate","Western"
"857",14232,14,"Lottery","OtherCollege","Western"
"858",26299,15,"MidtoLateFirst","NonCollegiate","Eastern"
"859",3540,16,"MidtoLateFirst","OtherCollege","Western"
"860",29000,17,"MidtoLateFirst","NonCollegiate","Eastern"
"861",26275,18,"MidtoLateFirst","NonCollegiate","Western"
"862",12280,19,"MidtoLateFirst","NonCollegiate","Eastern"
"863",24539,20,"MidtoLateFirst","OtherCollege","Western"
"864",28,21,"MidtoLateFirst","NonCollegiate","Western"
"865",2351,22,"MidtoLateFirst","NonCollegiate","Eastern"
"866",343,23,"MidtoLateFirst","NonCollegiate","Western"
"867",11842,24,"MidtoLateFirst","OtherCollege","Eastern"
"868",18055,25,"MidtoLateFirst","OtherCollege","Eastern"
"869",21559,26,"MidtoLateFirst","OtherCollege","Western"
"870",8908,27,"MidtoLateFirst","NonCollegiate","Western"
"871",18185,28,"MidtoLateFirst","NonCollegiate","Western"
"872",2686,29,"MidtoLateFirst","OtherCollege","Eastern"
"873",15087,30,"MidtoLateFirst","NonCollegiate","Eastern"
"874",1111,31,"SecondRound","OtherCollege","Eastern"
"875",20,32,"SecondRound","NonCollegiate","Eastern"
"876",433,33,"SecondRound","OtherCollege","Western"
"877",560,34,"SecondRound","OtherCollege","Eastern"
"878",73,35,"SecondRound","OtherCollege","Western"
"879",789,36,"SecondRound","OtherCollege","Eastern"
"880",6162,37,"SecondRound","OtherCollege","Eastern"
"881",15526,38,"SecondRound","PowerSchool","Eastern"
"883",1436,40,"SecondRound","OtherCollege","Eastern"
"886",32953,43,"SecondRound","PowerSchool","Eastern"
"888",1909,45,"SecondRound","OtherCollege","Eastern"
"889",316,46,"SecondRound","NonCollegiate","Western"
"890",879,47,"SecondRound","OtherCollege","Eastern"
"893",272,50,"SecondRound","NonCollegiate","Western"
"896",588,53,"SecondRound","OtherCollege","Eastern"
"898",77,55,"SecondRound","OtherCollege","Western"
"903",19862,1,"Top5","OtherCollege","Eastern"
"904",30159,2,"Top5","OtherCollege","Eastern"
"905",28865,3,"Top5","OtherCollege","Western"
"906",39896,4,"Top5","OtherCollege","Western"
"907",28829,5,"Top5","OtherCollege","Eastern"
"908",13914,6,"Lottery","NonCollegiate","Western"
"909",13578,7,"Lottery","PowerSchool","Eastern"
"910",19772,8,"Lottery","OtherCollege","Eastern"
"911",2795,9,"Lottery","OtherCollege","Western"
"912",10690,10,"Lottery","NonCollegiate","Western"
"914",168,12,"Lottery","NonCollegiate","Western"
"915",1868,13,"Lottery","OtherCollege","Eastern"
"916",5037,14,"Lottery","OtherCollege","Western"
"917",5714,15,"MidtoLateFirst","OtherCollege","Eastern"
"918",6117,16,"MidtoLateFirst","OtherCollege","Eastern"
"919",18487,17,"MidtoLateFirst","OtherCollege","Eastern"
"920",13026,18,"MidtoLateFirst","NonCollegiate","Eastern"
"921",10624,19,"MidtoLateFirst","OtherCollege","Western"
"922",98,20,"MidtoLateFirst","OtherCollege","Western"
"923",13878,21,"MidtoLateFirst","OtherCollege","Western"
"924",24140,22,"MidtoLateFirst","OtherCollege","Western"
"925",11853,23,"MidtoLateFirst","PowerSchool","Western"
"926",7797,24,"MidtoLateFirst","OtherCollege","Western"
"927",7262,25,"MidtoLateFirst","NonCollegiate","Western"
"928",11379,26,"MidtoLateFirst","PowerSchool","Eastern"
"929",8185,27,"MidtoLateFirst","OtherCollege","Western"
"930",10353,28,"MidtoLateFirst","NonCollegiate","Western"
"931",507,29,"MidtoLateFirst","PowerSchool","Eastern"
"932",24293,30,"MidtoLateFirst","OtherCollege","Eastern"
"933",2672,31,"SecondRound","OtherCollege","Eastern"
"934",1683,32,"SecondRound","PowerSchool","Western"
"935",16410,33,"SecondRound","OtherCollege","Western"
"936",17284,34,"SecondRound","NonCollegiate","Western"
"938",18957,36,"SecondRound","NonCollegiate","Eastern"
"939",8020,37,"SecondRound","OtherCollege","Western"
"940",2660,38,"SecondRound","OtherCollege","Eastern"
"941",2475,39,"SecondRound","OtherCollege","Western"
"942",29011,40,"SecondRound","NonCollegiate","Western"
"943",987,41,"SecondRound","NonCollegiate","Eastern"
"944",144,42,"SecondRound","OtherCollege","Western"
"945",6,43,"SecondRound","NonCollegiate","Eastern"
"946",9,44,"SecondRound","NonCollegiate","Eastern"
"947",27104,45,"SecondRound","NonCollegiate","Eastern"
"949",325,47,"SecondRound","PowerSchool","Western"
"950",2348,48,"SecondRound","NonCollegiate","Western"
"951",12462,49,"SecondRound","NonCollegiate","Eastern"
"952",13463,50,"SecondRound","OtherCollege","Eastern"
"953",212,51,"SecondRound","OtherCollege","Western"
"955",1555,53,"SecondRound","OtherCollege","Eastern"
"956",93,54,"SecondRound","PowerSchool","Eastern"
"957",1150,55,"SecondRound","OtherCollege","Western"
"958",18323,56,"SecondRound","NonCollegiate","Eastern"
"959",20691,57,"SecondRound","NonCollegiate","Western"
"960",72,58,"SecondRound","NonCollegiate","Eastern"
"962",234,60,"SecondRound","OtherCollege","Eastern"
"963",15806,1,"Top5","NonCollegiate","Eastern"
"964",36242,2,"Top5","OtherCollege","Eastern"
"965",3278,3,"Top5","OtherCollege","Eastern"
"966",7932,4,"Top5","OtherCollege","Western"
"967",5586,5,"Top5","PowerSchool","Eastern"
"968",11561,6,"Lottery","OtherCollege","Western"
"969",19279,7,"Lottery","PowerSchool","Eastern"
"970",33745,8,"Lottery","PowerSchool","Western"
"971",524,9,"Lottery","OtherCollege","Western"
"972",260,10,"Lottery","NonCollegiate","Western"
"973",23964,11,"Lottery","PowerSchool","Eastern"
"974",3378,12,"Lottery","PowerSchool","Western"
"975",19062,13,"Lottery","NonCollegiate","Eastern"
"976",11539,14,"Lottery","OtherCollege","Western"
"977",705,15,"MidtoLateFirst","OtherCollege","Western"
"978",4600,16,"MidtoLateFirst","OtherCollege","Eastern"
"979",5368,17,"MidtoLateFirst","OtherCollege","Eastern"
"980",1044,18,"MidtoLateFirst","NonCollegiate","Eastern"
"981",1535,19,"MidtoLateFirst","OtherCollege","Western"
"982",3064,20,"MidtoLateFirst","OtherCollege","Eastern"
"983",28570,21,"MidtoLateFirst","PowerSchool","Western"
"984",3095,22,"MidtoLateFirst","PowerSchool","Eastern"
"985",4482,23,"MidtoLateFirst","PowerSchool","Eastern"
"986",32613,24,"MidtoLateFirst","PowerSchool","Western"
"987",7329,25,"MidtoLateFirst","OtherCollege","Eastern"
"988",9840,26,"MidtoLateFirst","PowerSchool","Western"
"989",5281,27,"MidtoLateFirst","NonCollegiate","Western"
"990",505,28,"MidtoLateFirst","OtherCollege","Western"
"991",2771,29,"MidtoLateFirst","OtherCollege","Eastern"
"992",1821,30,"MidtoLateFirst","NonCollegiate","Western"
"993",583,31,"SecondRound","PowerSchool","Western"
"994",5657,32,"SecondRound","OtherCollege","Western"
"995",3092,33,"SecondRound","OtherCollege","Eastern"
"996",702,34,"SecondRound","OtherCollege","Western"
"997",22529,35,"SecondRound","OtherCollege","Eastern"
"998",6826,36,"SecondRound","OtherCollege","Western"
"999",867,37,"SecondRound","OtherCollege","Western"
"1000",38,38,"SecondRound","NonCollegiate","Western"
"1001",792,39,"SecondRound","OtherCollege","Eastern"
"1003",156,41,"SecondRound","OtherCollege","Eastern"
"1004",9316,42,"SecondRound","OtherCollege","Eastern"
"1005",172,43,"SecondRound","NonCollegiate","Western"
"1007",1302,45,"SecondRound","OtherCollege","Eastern"
"1008",711,46,"SecondRound","OtherCollege","Western"
"1009",30499,47,"SecondRound","OtherCollege","Western"
"1011",3320,49,"SecondRound","OtherCollege","Western"
"1012",6134,50,"SecondRound","PowerSchool","Eastern"
"1013",114,51,"SecondRound","NonCollegiate","Western"
"1014",18,52,"SecondRound","OtherCollege","Western"
"1016",547,54,"SecondRound","OtherCollege","Eastern"
"1021",170,59,"SecondRound","NonCollegiate","Western"
"1022",166,60,"SecondRound","OtherCollege","Eastern"
"1023",2028,1,"Top5","OtherCollege","Western"
"1024",34509,2,"Top5","OtherCollege","Western"
"1025",30597,3,"Top5","OtherCollege","Eastern"
"1026",30619,4,"Top5","OtherCollege","Western"
"1027",30463,5,"Top5","OtherCollege","Eastern"
"1028",6038,6,"Lottery","NonCollegiate","Eastern"
"1029",18771,7,"Lottery","OtherCollege","Western"
"1030",6949,8,"Lottery","OtherCollege","Eastern"
"1031",18646,9,"Lottery","OtherCollege","Eastern"
"1032",15541,10,"Lottery","OtherCollege","Western"
"1033",2385,11,"Lottery","OtherCollege","Eastern"
"1034",31778,12,"Lottery","OtherCollege","Eastern"
"1035",3049,13,"Lottery","PowerSchool","Western"
"1036",8274,14,"Lottery","OtherCollege","Western"
"1037",17890,15,"MidtoLateFirst","OtherCollege","Eastern"
"1038",16419,16,"MidtoLateFirst","OtherCollege","Eastern"
"1039",1978,17,"MidtoLateFirst","OtherCollege","Eastern"
"1040",19548,18,"MidtoLateFirst","NonCollegiate","Western"
"1041",1853,19,"MidtoLateFirst","OtherCollege","Western"
"1042",10029,20,"MidtoLateFirst","OtherCollege","Eastern"
"1043",5993,21,"MidtoLateFirst","OtherCollege","Eastern"
"1044",20117,22,"MidtoLateFirst","OtherCollege","Eastern"
"1045",20287,23,"MidtoLateFirst","OtherCollege","Eastern"
"1046",5965,24,"MidtoLateFirst","NonCollegiate","Western"
"1047",361,25,"MidtoLateFirst","OtherCollege","Western"
"1048",13439,26,"MidtoLateFirst","OtherCollege","Western"
"1049",20829,27,"MidtoLateFirst","PowerSchool","Eastern"
"1050",6812,28,"MidtoLateFirst","NonCollegiate","Western"
"1051",426,29,"MidtoLateFirst","OtherCollege","Western"
"1053",11524,31,"SecondRound","OtherCollege","Western"
"1054",461,32,"SecondRound","OtherCollege","Eastern"
"1055",39,33,"SecondRound","OtherCollege","Western"
"1056",269,34,"SecondRound","OtherCollege","Western"
"1057",10865,35,"SecondRound","OtherCollege","Western"
"1058",433,36,"SecondRound","OtherCollege","Western"
"1059",8271,37,"SecondRound","PowerSchool","Western"
"1060",1107,38,"SecondRound","NonCollegiate","Eastern"
"1062",28,40,"SecondRound","NonCollegiate","Western"
"1063",780,41,"SecondRound","OtherCollege","Western"
"1064",37,42,"SecondRound","OtherCollege","Western"
"1068",303,46,"SecondRound","OtherCollege","Western"
"1069",5348,47,"SecondRound","OtherCollege","Eastern"
"1070",28719,48,"SecondRound","NonCollegiate","Western"
"1071",3851,49,"SecondRound","OtherCollege","Eastern"
"1073",0,51,"SecondRound","OtherCollege","Eastern"
"1074",74,52,"SecondRound","OtherCollege","Western"
"1075",58,53,"SecondRound","OtherCollege","Western"
"1078",16119,56,"SecondRound","OtherCollege","Eastern"
"1081",270,59,"SecondRound","OtherCollege","Western"
"1083",21317,1,"Top5","OtherCollege","Eastern"
"1084",13903,2,"Top5","OtherCollege","Eastern"
"1085",16919,3,"Top5","OtherCollege","Western"
"1086",35426,4,"Top5","PowerSchool","Western"
"1087",25090,5,"Top5","PowerSchool","Western"
"1088",21780,6,"Lottery","NonCollegiate","Eastern"
"1089",24257,7,"Lottery","PowerSchool","Western"
"1090",745,8,"Lottery","OtherCollege","Eastern"
"1091",22851,9,"Lottery","OtherCollege","Eastern"
"1092",26192,10,"Lottery","OtherCollege","Eastern"
"1093",12486,11,"Lottery","OtherCollege","Eastern"
"1094",14819,12,"Lottery","OtherCollege","Western"
"1095",10564,13,"Lottery","PowerSchool","Western"
"1096",3841,14,"Lottery","OtherCollege","Western"
"1097",20573,15,"MidtoLateFirst","OtherCollege","Western"
"1098",10640,16,"MidtoLateFirst","OtherCollege","Eastern"
"1099",16389,17,"MidtoLateFirst","OtherCollege","Eastern"
"1100",13982,18,"MidtoLateFirst","OtherCollege","Eastern"
"1101",11925,19,"MidtoLateFirst","OtherCollege","Eastern"
"1102",3905,20,"MidtoLateFirst","NonCollegiate","Eastern"
"1103",16769,21,"MidtoLateFirst","OtherCollege","Eastern"
"1104",21938,22,"MidtoLateFirst","OtherCollege","Eastern"
"1105",11271,23,"MidtoLateFirst","OtherCollege","Western"
"1106",24941,24,"MidtoLateFirst","NonCollegiate","Western"
"1107",28030,25,"MidtoLateFirst","NonCollegiate","Western"
"1108",23667,26,"MidtoLateFirst","OtherCollege","Western"
"1109",8945,27,"MidtoLateFirst","PowerSchool","Western"
"1110",4259,28,"MidtoLateFirst","OtherCollege","Western"
"1111",2111,29,"MidtoLateFirst","PowerSchool","Eastern"
"1112",247,30,"MidtoLateFirst","OtherCollege","Eastern"
"1113",6744,31,"SecondRound","NonCollegiate","Western"
"1114",20,32,"SecondRound","OtherCollege","Western"
"1115",1488,33,"SecondRound","OtherCollege","Western"
"1116",17245,34,"SecondRound","PowerSchool","Western"
"1117",26194,35,"SecondRound","OtherCollege","Western"
"1118",9216,36,"SecondRound","NonCollegiate","Western"
"1119",16038,37,"SecondRound","PowerSchool","Eastern"
"1120",1379,38,"SecondRound","OtherCollege","Eastern"
"1121",3335,39,"SecondRound","OtherCollege","Eastern"
"1122",4381,40,"SecondRound","OtherCollege","Eastern"
"1123",431,41,"SecondRound","NonCollegiate","Eastern"
"1124",303,42,"SecondRound","OtherCollege","Western"
"1125",19,43,"SecondRound","OtherCollege","Western"
"1127",24734,45,"SecondRound","NonCollegiate","Western"
"1129",3016,47,"SecondRound","OtherCollege","Eastern"
"1130",472,48,"SecondRound","OtherCollege","Western"
"1134",1039,52,"SecondRound","PowerSchool","Eastern"
"1137",771,55,"SecondRound","OtherCollege","Western"
"1138",95,56,"SecondRound","PowerSchool","Western"
"1140",23,58,"SecondRound","PowerSchool","Western"
"1142",928,60,"SecondRound","NonCollegiate","Eastern"
"1143",23815,1,"Top5","OtherCollege","Western"
"1144",2357,2,"Top5","PowerSchool","Western"
"1145",32617,3,"Top5","OtherCollege","Western"
"1146",18242,4,"Top5","OtherCollege","Western"
"1147",20128,5,"Top5","NonCollegiate","Western"
"1148",3738,6,"Lottery","OtherCollege","Western"
"1149",28361,7,"Lottery","OtherCollege","Western"
"1150",7692,8,"Lottery","OtherCollege","Eastern"
"1151",32789,9,"Lottery","OtherCollege","Eastern"
"1152",16844,10,"Lottery","NonCollegiate","Eastern"
"1153",2922,11,"Lottery","PowerSchool","Eastern"
"1154",13854,12,"Lottery","PowerSchool","Eastern"
"1155",7233,13,"Lottery","OtherCollege","Eastern"
"1156",3630,14,"Lottery","PowerSchool","Western"
"1157",4132,15,"MidtoLateFirst","OtherCollege","Eastern"
"1158",15315,16,"MidtoLateFirst","OtherCollege","Eastern"
"1159",27817,17,"MidtoLateFirst","PowerSchool","Eastern"
"1160",16088,18,"MidtoLateFirst","OtherCollege","Western"
"1161",22164,19,"MidtoLateFirst","OtherCollege","Eastern"
"1162",3896,20,"MidtoLateFirst","OtherCollege","Western"
"1163",20833,21,"MidtoLateFirst","PowerSchool","Western"
"1164",1072,22,"MidtoLateFirst","NonCollegiate","Western"
