"","overall_pick","total_games_played","total_minutes_played","total_points","total_rebounds","total_assists","mpg","ppg","rpg","apg","win_shares","ws_per_48","bpm","vorp"
"1820",18,106,1484,420,239,107,14,4,2.3,1,2.9,0.093,-1.8,0.1
"1821",19,152,4613,2178,759,328,30.3,14.3,5,2.2,7.3,0.075,-0.4,1.9
"1822",20,134,2462,968,681,111,18.4,7.2,5.1,0.8,3.8,0.075,-3,-0.7
"1823",21,136,3585,1799,344,441,26.4,13.2,2.5,3.2,9.2,0.123,0,1.9
"1824",22,83,1095,406,212,27,13.2,4.9,2.6,0.3,2.7,0.116,-2.1,0
"1827",25,142,3045,1613,384,402,21.4,11.4,2.7,2.8,7.5,0.118,0.5,1.9
"1828",26,137,2269,952,292,259,16.6,6.9,2.1,1.9,5.6,0.118,0.4,1.4
"1830",28,133,3314,1074,525,150,24.9,8.1,3.9,1.1,3.9,0.056,-3.2,-1
"1831",29,91,1465,542,179,207,16.1,6,2,2.3,1.8,0.06,-2.2,-0.1
"1832",30,144,3785,2009,544,326,26.3,14,3.8,2.3,10.1,0.129,1.3,3.2
"1833",31,13,59,13,6,6,4.5,1,0.5,0.5,0,-0.035,-4.8,0
"1834",32,26,159,66,39,2,6.1,2.5,1.5,0.1,0.2,0.066,-6.5,-0.2
"1835",33,33,188,63,53,10,5.7,1.9,1.6,0.3,0.3,0.086,-5.2,-0.2
"1837",35,112,1786,642,417,137,15.9,5.7,3.7,1.2,4.6,0.125,0.2,1
"1838",36,18,71,18,19,3,3.9,1,1.1,0.2,0,-0.033,-9.5,-0.1
"1840",38,85,1385,475,184,281,16.3,5.6,2.2,3.3,2.4,0.083,-1.3,0.2
"1841",39,54,498,157,67,28,9.2,2.9,1.2,0.5,-0.4,-0.039,-6.4,-0.5
"1842",40,25,87,27,27,5,3.5,1.1,1.1,0.2,-0.1,-0.077,-7.7,-0.1
"1843",41,106,1417,507,176,272,13.4,4.8,1.7,2.6,3.3,0.11,-1,0.3
"1844",42,68,430,165,97,15,6.3,2.4,1.4,0.2,1,0.111,-3.5,-0.2
"1845",43,32,228,100,23,13,7.1,3.1,0.7,0.4,-0.1,-0.023,-5.9,-0.2
"1847",45,92,1459,658,281,66,15.9,7.2,3.1,0.7,1,0.033,-3.6,-0.6
"1848",46,88,1366,407,259,97,15.5,4.6,2.9,1.1,0.5,0.018,-5.2,-1.1
"1850",48,30,364,123,46,70,12.1,4.1,1.5,2.3,0.2,0.029,-3.9,-0.2
"1851",49,96,992,351,92,55,10.3,3.7,1,0.6,1.1,0.052,-4,-0.5
"1852",50,61,489,204,60,47,8,3.3,1,0.8,1.1,0.104,0.1,0.3
"1855",53,29,137,55,10,19,4.7,1.9,0.3,0.7,0.1,0.051,-4.9,-0.1
"1856",54,33,248,88,39,5,7.5,2.7,1.2,0.2,0,-0.006,-7.9,-0.4
"1857",55,22,205,84,30,9,9.3,3.8,1.4,0.4,-0.1,-0.028,-7.3,-0.3
"1859",57,36,398,170,120,26,11.1,4.7,3.3,0.7,0.4,0.048,-5.5,-0.3
"1860",58,64,479,204,153,28,7.5,3.2,2.4,0.4,1.9,0.193,1,0.4
"1861",59,13,172,96,18,17,13.2,7.4,1.4,1.3,0.3,0.079,0.3,0.1
"1862",60,36,291,114,37,25,8.1,3.2,1,0.7,0.5,0.088,-1.9,0
"1863",1,64,2088,1114,354,356,32.6,17.4,5.5,5.6,-0.5,-0.011,-1.6,0.2
"1865",3,69,2331,1034,570,174,33.8,15,8.3,2.5,5.2,0.107,0.6,1.5
"1866",4,74,2617,1134,557,256,35.4,15.3,7.5,3.5,6.6,0.122,0.9,1.9
"1867",5,48,1307,564,171,209,27.2,11.8,3.6,4.4,-1.6,-0.06,-5.6,-1.2
"1870",8,79,2429,1197,356,231,30.7,15.2,4.5,2.9,4,0.079,-0.7,0.8
"1871",9,75,2076,861,166,313,27.7,11.5,2.2,4.2,0.1,0.003,-3.8,-0.9
"1872",10,62,1346,501,129,65,21.7,8.1,2.1,1,2.2,0.08,-3,-0.3
