"","overall_pick","total_games_played","total_minutes_played","total_points","total_rebounds","total_assists","mpg","ppg","rpg","apg","win_shares","ws_per_48","bpm","vorp"
"114",6,296,5833,2356,1234,400,19.7,8,4.2,1.4,3,0.024,-3.6,-2.4
"115",7,567,12006,4090,2794,836,21.2,7.2,4.9,1.5,17.5,0.07,-2.6,-1.9
"116",8,251,5018,1685,467,428,20,6.7,1.9,1.7,0.1,0.001,-3.7,-2.2
"117",9,1001,21658,7990,3216,1561,21.6,8,3.2,1.6,43.8,0.097,-0.2,9.8
"118",10,413,10004,4536,2564,440,24.2,11,6.2,1.1,22.8,0.109,-0.6,3.4
"119",11,724,21545,9994,2174,4407,29.8,13.8,3,6.1,65.9,0.147,3.6,30.3
"120",12,757,15850,5497,1417,2997,20.9,7.3,1.9,4,35.9,0.109,1.3,13.3
"121",13,1094,29606,8706,8605,978,27.1,8,7.9,0.9,86.9,0.141,0.5,18.4
"122",14,72,309,135,74,21,4.3,1.9,1,0.3,0.2,0.036,-6.9,-0.4
"123",15,352,6729,1958,1584,278,19.1,5.6,4.5,0.8,0.3,0.002,-5.7,-6.4
"124",16,700,13760,7232,3741,461,19.7,10.3,5.3,0.7,32.1,0.112,-1.1,3.2
"125",17,286,5755,2542,1384,257,20.1,8.9,4.8,0.9,8.8,0.073,-2.2,-0.3
"126",18,126,1031,417,141,48,8.2,3.3,1.1,0.4,-0.1,-0.004,-5.9,-1
"127",19,183,3131,1218,271,394,17.1,6.7,1.5,2.2,1.5,0.024,-3.6,-1.2
"129",21,508,11882,5118,1261,2467,23.4,10.1,2.5,4.9,25.6,0.103,2,12.1
"131",23,300,5869,2555,1549,189,19.6,8.5,5.2,0.6,8.1,0.066,-3.4,-2
"132",24,930,23723,8966,3517,2649,25.5,9.6,3.8,2.8,44.7,0.09,0,11.7
"134",26,127,883,332,160,56,7,2.6,1.3,0.4,1,0.054,-3.3,-0.3
"135",27,584,8394,2494,1935,488,14.4,4.3,3.3,0.8,10.6,0.06,-1.8,0.3
"136",28,95,1143,310,120,108,12,3.3,1.3,1.1,0.4,0.016,-4.4,-0.7
"138",30,38,313,131,33,27,8.2,3.4,0.9,0.7,-0.2,-0.035,-5.3,-0.3
"139",31,655,11533,3148,1173,1420,17.6,4.8,1.8,2.2,11,0.046,-1.9,0.2
"141",33,249,3501,1182,809,191,14.1,4.7,3.2,0.8,1.8,0.025,-4.2,-1.9
"143",35,122,3049,1096,238,522,25,9,2,4.3,3.7,0.058,-1.9,0.1
"144",36,112,1313,416,129,243,11.7,3.7,1.2,2.2,1.6,0.058,-1.8,0.1
"145",37,549,9501,3449,742,1699,17.3,6.3,1.4,3.1,14,0.071,-0.5,3.6
"147",39,78,856,331,80,55,11,4.2,1,0.7,0.3,0.018,-4.7,-0.6
"148",40,499,7275,2253,654,1038,14.6,4.5,1.3,2.1,2.5,0.016,-3.9,-3.5
"149",41,84,671,352,85,45,8,4.2,1,0.5,-1.3,-0.095,-7,-0.8
"151",43,13,155,60,15,14,11.9,4.6,1.2,1.1,-0.5,-0.142,-7.7,-0.2
"153",45,467,13426,5153,1469,1246,28.7,11,3.1,2.7,27.2,0.097,0.2,7.5
"154",46,102,2226,1080,351,111,21.8,10.6,3.4,1.1,4.5,0.097,-0.2,1
"156",48,432,8350,3285,2030,538,19.3,7.6,4.7,1.2,9.2,0.053,-2.5,-1
"157",49,168,1946,761,153,284,11.6,4.5,0.9,1.7,1,0.024,-3.6,-0.8
"163",1,1207,41918,28596,13099,3026,34.7,23.7,10.9,2.5,181.7,0.208,5.1,75.5
"164",2,838,25975,14311,7137,946,31,17.1,8.5,1.1,89.7,0.166,2.2,27.4
"165",3,868,25760,11121,5806,2224,29.7,12.8,6.7,2.6,64.9,0.121,1,19.5
"166",4,885,29067,12690,4152,2851,32.8,14.3,4.7,3.2,35.8,0.059,-0.9,8.2
"167",5,624,17616,7410,4032,981,28.2,11.9,6.5,1.6,32.8,0.089,-1,4.6
"168",6,763,23556,9895,5589,2140,30.9,13,7.3,2.8,40.2,0.082,0.6,15.3
"169",7,708,18818,8385,2794,1637,26.6,11.8,3.9,2.3,33.9,0.087,0.5,11.8
"170",8,483,12214,5917,1649,713,25.3,12.3,3.4,1.5,17.5,0.069,-0.9,3.4
"171",9,915,27736,10483,6846,1346,30.3,11.5,7.5,1.5,58.4,0.101,-0.3,11.8
"172",10,617,10334,3107,2556,427,16.7,5,4.1,0.7,24.9,0.116,-1.3,1.7
"173",11,1107,27069,7715,5269,2343,24.5,7,4.8,2.1,66.3,0.118,1.9,26.4
"174",12,200,3748,1801,432,245,18.7,9,2.2,1.2,4.2,0.053,-3,-0.9
"175",13,586,16417,5946,1983,1178,28,10.1,3.4,2,29.5,0.086,-0.8,4.9
"176",14,493,11720,4955,1585,816,23.8,10.1,3.2,1.7,17.1,0.07,-1.2,2.2
"177",15,827,20464,8017,2136,1956,24.7,9.7,2.6,2.4,30.7,0.072,-0.7,6.6
"178",16,151,1093,356,93,257,7.2,2.4,0.6,1.7,0.6,0.026,-1.5,0.1
"179",17,827,26079,9301,3382,2992,31.5,11.2,4.1,3.6,55.7,0.102,1.1,20.7
"180",18,659,12103,5943,1649,508,18.4,9,2.5,0.8,24.1,0.096,-0.1,5.8
"181",19,319,6679,3490,1210,404,20.9,10.9,3.8,1.3,9.4,0.067,-2.5,-0.9
"182",20,685,15143,5583,1045,1172,22.1,8.2,1.5,1.7,27.7,0.088,-0.9,4.2
"183",21,821,13880,4715,1513,1784,16.9,5.7,1.8,2.2,37.2,0.129,1.8,13.4
"184",22,493,11338,3625,2893,1061,23,7.4,5.9,2.2,21.1,0.089,0.6,7.4
"185",23,496,10337,2546,642,1767,20.8,5.1,1.3,3.6,7.9,0.036,-2.9,-2.3
"186",24,913,35270,16712,3724,3664,38.6,18.3,4.1,4,56.3,0.077,0.4,21
"187",25,157,2641,923,555,109,16.8,5.9,3.5,0.7,0,0.001,-4.6,-1.7
"188",26,59,475,204,64,17,8.1,3.5,1.1,0.3,-0.3,-0.032,-8.2,-0.7
"189",27,214,2674,835,648,114,12.5,3.9,3,0.5,3.9,0.069,-3.9,-1.3
"190",28,98,1146,479,363,22,11.7,4.9,3.7,0.2,2.6,0.109,-3,-0.3
"191",29,1089,33823,9870,8409,1661,31.1,9.1,7.7,1.5,89.8,0.128,0,17.4
"192",30,749,13560,4676,2877,631,18.1,6.2,3.8,0.8,16.2,0.057,-2.9,-3.1
"193",31,66,384,99,120,5,5.8,1.5,1.8,0.1,0.4,0.051,-5.1,-0.3
"194",32,418,7007,2481,684,1236,16.8,5.9,1.6,3,12,0.082,-0.8,2.2
"195",33,39,288,92,37,29,7.4,2.4,0.9,0.7,0.2,0.037,-5.6,-0.3
"196",34,224,3956,1140,291,627,17.7,5.1,1.3,2.8,3.2,0.039,-2.3,-0.3
"197",35,152,1886,538,155,303,12.4,3.5,1,2,1.6,0.041,-2.7,-0.3
"198",36,88,781,204,59,178,8.9,2.3,0.7,2,-0.5,-0.032,-6.1,-0.8
"200",38,21,159,48,10,22,7.6,2.3,0.5,1,-0.3,-0.095,-6.9,-0.2
"201",39,148,1189,423,75,182,8,2.9,0.5,1.2,1.6,0.066,-2.4,-0.1
"203",41,535,12579,3726,3981,696,23.5,7,7.4,1.3,22,0.084,-2.7,-2.1
"204",42,552,12221,5059,3158,388,22.1,9.2,5.7,0.7,28.4,0.112,-1.8,0.6
"207",45,103,2058,693,311,116,20,6.7,3,1.1,1,0.023,-2.8,-0.4
"208",46,47,273,101,81,9,5.8,2.1,1.7,0.2,0.1,0.026,-6.3,-0.3
"210",48,68,374,131,55,22,5.5,1.9,0.8,0.3,0,0,-4.7,-0.3
"212",50,50,512,177,110,25,10.2,3.5,2.2,0.5,0.6,0.058,-3.1,-0.1
"214",52,2,12,3,3,2,6,1.5,1.5,1,0,-0.126,-8.5,0
"217",1,831,30847,17182,8124,3526,37.1,20.7,9.8,4.2,84.7,0.132,3.4,42.1
"218",2,832,19531,6752,5268,573,23.5,8.1,6.3,0.7,40.7,0.1,-0.2,8.9
"219",3,704,23711,10684,3146,3525,33.7,15.2,4.5,5,61.9,0.125,2.5,26.9
"220",4,611,22762,11644,3271,2414,37.3,19.1,5.4,4,43.7,0.092,0.3,13.4
"221",5,563,17851,9405,2166,1535,31.7,16.7,3.8,2.7,22.8,0.061,-1,4.5
"222",6,825,22007,7826,2610,1398,26.7,9.5,3.2,1.7,23.1,0.05,-2.5,-2.9
"223",7,269,4170,1032,283,880,15.5,3.8,1.1,3.3,-1.2,-0.014,-5.4,-3.5
"224",8,791,25737,11839,5867,1509,32.5,15,7.4,1.9,47,0.088,-1.2,5.3
"225",9,866,21873,9468,3881,1722,25.3,10.9,4.5,2,38.8,0.085,-0.3,9.7
"226",10,937,23253,7956,2021,2506,24.8,8.5,2.2,2.7,32.9,0.068,-0.4,9.4
"227",11,839,28311,14551,2434,1990,33.7,17.3,2.9,2.4,55.3,0.094,0.1,15
"228",12,774,17683,5109,3902,1121,22.8,6.6,5,1.4,32.3,0.088,-0.4,7.3
"229",13,402,7305,3235,588,1034,18.2,8,1.5,2.6,7.3,0.048,-2.6,-1.1
"231",15,85,838,203,153,60,9.9,2.4,1.8,0.7,0.2,0.013,-4.8,-0.6
"232",16,335,4602,1547,403,569,13.7,4.6,1.2,1.7,6.3,0.066,-2,0
"233",17,207,2530,938,219,201,12.2,4.5,1.1,1,1.3,0.025,-3.8,-1.2
"234",18,15,92,19,10,0,6.1,1.3,0.7,0,-0.1,-0.064,-12.3,-0.2
"235",19,193,2512,980,517,61,13,5.1,2.7,0.3,0.3,0.005,-5.9,-2.5
"236",20,383,7592,2647,1332,527,19.8,6.9,3.5,1.4,16.4,0.104,0.7,5.2
"237",21,381,6935,2882,660,715,18.2,7.6,1.7,1.9,5.8,0.04,-2,0
"238",22,568,17282,6357,2808,1063,30.4,11.2,4.9,1.9,37.7,0.105,-0.5,6.8
"239",23,845,16989,3473,5148,387,20.1,4.1,6.1,0.5,37.8,0.107,-1.4,2.6
"240",24,993,29812,15635,3221,5939,30,15.7,3.2,6,87.5,0.141,1.8,28.8
"241",25,644,9925,2287,2690,460,15.4,3.6,4.2,0.7,18.2,0.088,-2.5,-1.1
"243",27,22,69,32,24,1,3.1,1.5,1.1,0,0.1,0.036,-8.7,-0.1
"244",28,800,15701,5784,1864,1130,19.6,7.2,2.3,1.4,28.7,0.088,-0.9,4.5
"248",32,11,114,35,20,10,10.4,3.2,1.8,0.9,-0.4,-0.153,-8.4,-0.2
"249",33,186,1844,574,479,60,9.9,3.1,2.6,0.3,2.5,0.066,-3.8,-0.9
"250",34,40,293,76,36,18,7.3,1.9,0.9,0.5,-0.1,-0.02,-2.8,-0.1
"253",37,880,28969,12658,2545,5777,32.9,14.4,2.9,6.6,55.9,0.093,0.4,17.7
"256",40,55,512,182,94,10,9.3,3.3,1.7,0.2,-0.3,-0.028,-8.3,-0.8
"258",42,10,97,21,6,22,9.7,2.1,0.6,2.2,0,-0.015,-2.9,0
"259",43,53,382,157,89,24,7.2,3,1.7,0.5,0.5,0.06,-2.3,0
"261",45,841,19805,6663,2914,1085,23.5,7.9,3.5,1.3,47.4,0.115,0.4,11.8
"262",46,22,92,53,31,1,4.2,2.4,1.4,0,0,-0.014,-8.2,-0.1
"263",47,579,10052,3738,815,1613,17.4,6.5,1.4,2.8,21.2,0.101,-0.2,4.6
"264",48,14,58,13,13,3,4.1,0.9,0.9,0.2,0,-0.016,-8.1,-0.1
"268",52,68,705,194,176,26,10.4,2.9,2.6,0.4,1,0.067,-4.5,-0.4
"271",1,688,25346,14234,4189,1879,36.8,20.7,6.1,2.7,39.8,0.075,0.1,13.5
"272",2,1391,50111,17529,8725,12091,36,12.6,6.3,8.7,138.6,0.133,3.8,73.5
"273",3,1026,34776,17137,6169,4252,33.9,16.7,6,4.1,99.9,0.138,3,43.6
"274",4,957,25027,10716,6376,1305,26.2,11.2,6.7,1.4,59,0.113,1.1,19.9
"275",5,1208,36654,16159,7428,2663,30.3,13.4,6.1,2.2,59.4,0.078,-1.6,3.8
"276",6,203,4531,1974,1023,118,22.3,9.7,5,0.6,1.4,0.015,-4.8,-3.2
"277",7,736,18477,8286,3033,978,25.1,11.3,4.1,1.3,19.8,0.052,-1.2,4
"278",8,756,21417,7933,5622,923,28.3,10.5,7.4,1.2,54.5,0.122,-0.8,6.2
"279",9,465,8479,2071,2159,207,18.2,4.5,4.6,0.4,8.5,0.048,-4.4,-5.2
"280",10,954,32778,14155,3857,2812,34.4,14.8,4,2.9,100.6,0.147,3.1,42.3
"281",11,298,5654,2196,1272,182,19,7.4,4.3,0.6,11.1,0.095,-1,1.5
"282",12,277,5837,2167,580,886,21.1,7.8,2.1,3.2,8.4,0.069,-1.3,1
"283",13,923,27925,13220,3193,3527,30.3,14.3,3.5,3.8,47.2,0.081,-0.2,12.3
"285",15,789,14613,5919,1716,778,18.5,7.5,2.2,1,31,0.102,0.2,7.9
"286",16,173,2984,827,897,98,17.2,4.8,5.2,0.6,3.9,0.063,-3.5,-1.1
"287",17,793,19156,5871,2587,2126,24.2,7.4,3.3,2.7,40,0.1,0.7,12.9
"288",18,113,1570,440,351,57,13.9,3.9,3.1,0.5,1.1,0.034,-4.3,-0.9
"289",19,156,2222,1140,198,186,14.2,7.3,1.3,1.2,1.3,0.027,-3.3,-0.7
"290",20,55,809,195,62,174,14.7,3.5,1.1,3.2,-0.7,-0.039,-5,-0.6
"291",21,327,5201,1388,1187,305,15.9,4.2,3.6,0.9,4.7,0.044,-4.5,-3.3
"292",22,147,1614,394,290,60,11,2.7,2,0.4,1.6,0.047,-5.3,-1.3
"293",23,733,20727,8192,2402,1234,28.3,11.2,3.3,1.7,44,0.102,0.9,15.2
"294",24,456,7624,2884,1296,544,16.7,6.3,2.8,1.2,11.4,0.072,-1.8,0.3
"295",25,277,5144,1902,741,384,18.6,6.9,2.7,1.4,8.2,0.077,-1.5,0.7
"296",26,630,14080,3947,1648,2539,22.3,6.3,2.6,4,33,0.113,2.1,14.5
"297",27,168,1714,760,158,281,10.2,4.5,0.9,1.7,2,0.057,-1.5,0.2
"299",29,143,1395,329,210,50,9.8,2.3,1.5,0.3,1.7,0.057,-3.8,-0.6
"300",30,786,16013,5116,1324,2748,20.4,6.5,1.7,3.5,19.5,0.058,-1.7,1.3
"302",32,401,5927,1072,1243,105,14.8,2.7,3.1,0.3,9.4,0.076,-2.2,-0.3
"303",33,139,2657,751,525,94,19.1,5.4,3.8,0.7,2.6,0.047,-2.8,-0.5
"304",34,4,42,15,5,1,10.5,3.8,1.3,0.3,0.1,0.076,-1.2,0
"305",35,449,10552,2527,3193,661,23.5,5.6,7.1,1.5,23.4,0.107,-0.1,5.1
"307",37,114,1146,423,275,76,10.1,3.7,2.4,0.7,1.8,0.074,-2.6,-0.2
"308",38,133,1395,467,169,89,10.5,3.5,1.3,0.7,1.1,0.038,-3.3,-0.5
"309",39,181,1637,510,488,66,9,2.8,2.7,0.4,3.8,0.11,-2.6,-0.2
"315",45,41,395,167,58,18,9.6,4.1,1.4,0.4,0.2,0.025,-3.5,-0.1
"316",46,565,15349,6745,1609,1180,27.2,11.9,2.8,2.1,29.6,0.093,0,7.9
"317",47,102,1248,323,149,117,12.2,3.2,1.5,1.1,1.2,0.045,-1.5,0.2
"321",51,318,4726,2031,1142,183,14.9,6.4,3.6,0.6,12.9,0.131,-0.5,1.8
"322",52,266,4951,1667,359,737,18.6,6.3,1.3,2.8,6.4,0.062,-1.8,0.3
"325",1,1030,27022,11208,6575,1010,26.2,10.9,6.4,1,60.3,0.107,-1.5,3
"326",2,1015,28053,12227,7638,1300,27.6,12,7.5,1.3,69.8,0.119,-0.1,13.2
"327",3,970,30222,16409,3067,3240,31.2,16.9,3.2,3.3,52.4,0.083,0.3,17.4
"328",4,1109,36243,16006,7404,1994,32.7,14.4,6.7,1.8,105.1,0.139,2.2,38.3
"330",6,395,12071,4945,2745,623,30.6,12.5,6.9,1.6,13,0.052,-3.4,-4.3
"331",7,878,29106,11763,3039,5371,33.2,13.4,3.5,6.1,55.4,0.091,0.3,16.8
"332",8,172,2350,851,226,177,13.7,4.9,1.3,1,2.1,0.043,-2.3,-0.2
"333",9,128,2062,634,316,102,16.1,5,2.5,0.8,1.1,0.025,-3.5,-0.7
"334",10,1110,27160,8973,7328,1204,24.5,8.1,6.6,1.1,64.2,0.114,-0.8,8.6
"335",11,506,9866,4366,2276,504,19.5,8.6,4.5,1,23.2,0.113,-1,2.4
"336",12,472,7459,2056,1703,265,15.8,4.4,3.6,0.6,11.8,0.076,-2.4,-0.7
"337",13,822,18749,9147,3183,972,22.8,11.1,3.9,1.2,34.7,0.089,-2,-0.1
"338",14,658,15731,5642,2139,936,23.9,8.6,3.3,1.4,23.2,0.071,-2.4,-1.5
"339",15,912,23643,8488,2780,2892,25.9,9.3,3,3.2,70.5,0.143,2.6,27.7
"340",16,652,13780,5094,3249,397,21.1,7.8,5,0.6,28,0.097,-1.8,0.6
"341",17,657,15597,5654,2240,2474,23.7,8.6,3.4,3.8,28.3,0.087,0.4,9.4
"342",18,810,20500,5809,4596,465,25.3,7.2,5.7,0.6,47.9,0.112,0,10.3
"343",19,51,405,124,25,49,7.9,2.4,0.5,1,-0.2,-0.026,-5.7,-0.4
"344",20,462,9045,3368,2022,420,19.6,7.3,4.4,0.9,13.5,0.072,-3.6,-3.6
"345",21,1103,37996,17306,4804,3245,34.4,15.7,4.4,2.9,85.2,0.108,1,28.8
"346",22,135,1328,453,286,32,9.8,3.4,2.1,0.2,0.8,0.029,-7.5,-1.8
"347",23,708,15150,5376,1249,2444,21.4,7.6,1.8,3.5,30.9,0.098,-0.4,6
"348",24,140,2044,645,480,77,14.6,4.6,3.4,0.6,0.5,0.012,-7.2,-2.7
"349",25,118,1156,341,361,36,9.8,2.9,3.1,0.3,0.6,0.026,-6.4,-1.3
"350",26,28,139,90,24,5,5,3.2,0.9,0.2,0.4,0.124,-5.2,-0.1
"351",27,68,606,269,182,24,8.9,4,2.7,0.4,1.9,0.153,-0.8,0.2
"352",28,756,14753,3512,4145,443,19.5,4.6,5.5,0.6,33.8,0.11,-0.6,5.1
"353",29,307,4847,1677,481,834,15.8,5.5,1.6,2.7,3,0.03,-1.7,0.4
"354",30,66,479,130,92,21,7.3,2,1.4,0.3,0,-0.001,-4.9,-0.4
"356",32,36,405,106,44,54,11.3,2.9,1.2,1.5,-0.2,-0.021,-4,-0.2
"358",34,587,9847,2815,2488,339,16.8,4.8,4.2,0.6,19.3,0.094,-2.9,-2.4
"359",35,64,890,285,112,90,13.9,4.5,1.8,1.4,0,0.001,-4.6,-0.6
"360",36,119,1814,747,181,182,15.2,6.3,1.5,1.5,0,0.001,-2.1,0
"361",37,13,79,27,16,7,6.1,2.1,1.2,0.5,0,0.025,-4.7,-0.1
"363",39,119,919,293,121,36,7.7,2.5,1,0.3,0.9,0.045,-3.8,-0.4
"366",42,30,195,79,25,16,6.5,2.6,0.8,0.5,-0.3,-0.064,-4.9,-0.1
"367",43,846,23132,5791,2141,4245,27.3,6.8,2.5,5,43.4,0.09,-1,5.9
"371",47,226,4743,1728,393,910,21,7.6,1.7,4,6.8,0.068,-1.5,0.7
"372",48,230,3681,1261,697,294,16,5.5,3,1.3,2.3,0.03,-2.4,-0.4
"373",49,117,1305,336,123,201,11.2,2.9,1.1,1.7,0.2,0.006,-3.2,-0.4
"374",50,25,239,89,35,7,9.6,3.6,1.4,0.3,0.1,0.026,-5,-0.2
"376",52,541,9978,2944,1438,846,18.4,5.4,2.7,1.6,27.6,0.133,1.2,8
"380",56,297,4505,1988,658,294,15.2,6.7,2.2,1,3.9,0.042,-3,-1.1
"381",57,7,32,9,3,3,4.6,1.3,0.4,0.4,-0.1,-0.151,-6.3,0
"382",58,403,5374,1454,1169,143,13.3,3.6,2.9,0.4,13.7,0.123,-2.1,-0.2
"383",1,914,37584,24368,3394,5624,41.1,26.7,3.7,6.2,99,0.126,3.2,49.6
"384",2,973,28684,9262,9513,1837,29.5,9.5,9.8,1.9,81.6,0.137,2.3,31.3
"385",3,830,28882,15028,6239,2109,34.8,18.1,7.5,2.5,71.2,0.118,1,21.9
"386",4,846,31891,16297,2516,6471,37.7,19.3,3,7.6,77.5,0.117,1.8,30.7
"387",5,1300,46344,24505,5272,4361,35.6,18.9,4.1,3.4,145.1,0.15,2.9,57.6
"388",6,893,31531,15647,6891,3170,35.3,17.5,7.7,3.5,38.1,0.058,0.3,18
"389",7,778,18535,6191,4943,622,23.8,8,6.4,0.8,30.5,0.079,-2.6,-3
"390",8,507,16929,7165,1983,1295,33.4,14.1,3.9,2.6,44.8,0.127,2.2,18
"391",9,445,7612,2376,2089,252,17.1,5.3,4.7,0.6,14.2,0.089,-2.6,-1.1
"392",10,987,24003,7309,7005,817,24.3,7.4,7.1,0.8,52.7,0.105,-1.3,4.1
"393",11,225,2500,835,674,46,11.1,3.7,3,0.2,2.2,0.041,-5.7,-2.3
"394",12,610,11608,3995,2725,418,19,6.5,4.5,0.7,15.5,0.064,-4,-5.9
"397",15,1217,38069,17387,3642,10335,31.3,14.3,3,8.5,129.7,0.164,3,48.2
"398",16,545,11702,4957,1351,1024,21.5,9.1,2.5,1.9,19.5,0.08,-0.4,4.8
"400",18,381,6143,2901,1061,281,16.1,7.6,2.8,0.7,6.4,0.05,-2.7,-1
"401",19,593,10374,3056,1554,670,17.5,5.2,2.6,1.1,13.7,0.064,-1.7,0.8
"404",22,137,2309,652,483,57,16.9,4.8,3.5,0.4,1.7,0.035,-3.7,-1
"406",24,1287,32719,10713,2658,3804,25.4,8.3,2.1,3,62.3,0.091,-0.9,8.9
"408",26,587,12755,3865,3743,474,21.7,6.6,6.4,0.8,37.9,0.143,0.3,7.4
"409",27,102,1097,375,164,77,10.8,3.7,1.6,0.8,1.7,0.076,-0.8,0.3
"410",28,74,525,255,143,33,7.1,3.4,1.9,0.4,-0.8,-0.074,-7.9,-0.8
"411",29,371,4566,1276,1160,224,12.3,3.4,3.1,0.6,7.9,0.083,-3,-1.1
"412",30,709,13924,5212,3130,443,19.6,7.4,4.4,0.6,23.1,0.08,-3.4,-4.9
"413",31,114,1508,381,316,63,13.2,3.3,2.8,0.6,2.1,0.067,-3.8,-0.7
"415",33,445,7640,2272,868,1233,17.2,5.1,2,2.8,10,0.063,-1.4,1.2
"419",37,576,15927,5396,1170,2514,27.7,9.4,2,4.4,23.1,0.07,-2.1,-0.3
"420",38,35,268,76,60,7,7.7,2.2,1.7,0.2,0.2,0.031,-6.5,-0.3
"423",41,14,108,30,15,4,7.7,2.1,1.1,0.3,0,-0.014,-5.7,-0.1
"424",42,203,2684,773,282,415,13.2,3.8,1.4,2,2.3,0.041,-2.5,-0.3
"426",44,813,13404,5003,3371,684,16.5,6.2,4.1,0.8,26.5,0.095,-2.1,-0.4
"428",46,27,229,92,22,23,8.5,3.4,0.8,0.9,0.3,0.066,-2.6,0
"430",48,201,4316,911,1437,139,21.5,4.5,7.1,0.7,8.2,0.091,-2.7,-0.7
"431",49,114,968,204,213,36,8.5,1.8,1.9,0.3,0.5,0.024,-4.7,-0.7
"433",51,76,1095,350,117,104,14.4,4.6,1.5,1.4,-0.1,-0.003,-4,-0.6
"434",52,153,1634,285,261,63,10.7,1.9,1.7,0.4,1.3,0.038,-4.3,-0.9
"436",54,719,15946,5327,2252,1007,22.2,7.4,3.1,1.4,23.6,0.071,-1.3,3
"438",56,101,931,209,82,110,9.2,2.1,0.8,1.1,0.6,0.032,-2.5,-0.1
"439",57,60,598,134,67,111,10,2.2,1.1,1.9,0.6,0.051,-3.5,-0.2
"441",1,1392,47368,26496,15091,4225,34,19,10.8,3,206.4,0.209,5.6,91.1
"442",2,575,18150,9206,3909,900,31.6,16,6.8,1.6,41.7,0.11,0.1,9.6
"443",3,1043,33008,15802,2992,5636,31.6,15.2,2.9,5.4,120.8,0.176,3.2,43.5
"444",4,872,19671,6623,1613,2934,22.6,7.6,1.8,3.4,47,0.115,0,10.1
"445",5,837,17649,5082,4287,522,21.1,6.1,5.1,0.6,36.4,0.099,-1.8,0.8
"446",6,432,13418,5892,1342,921,31.1,13.6,3.1,2.1,9.4,0.034,-2.7,-2.5
"447",7,824,21336,9454,3379,1272,25.9,11.5,4.1,1.5,35.2,0.079,-0.8,6.4
"448",8,733,13060,2989,3461,344,17.8,4.1,4.7,0.5,18.7,0.069,-1.7,1.1
"450",10,440,8832,3615,3184,301,20.1,8.2,7.2,0.7,22.3,0.121,-3.2,-2.6
"451",11,236,4807,1830,776,266,20.4,7.8,3.3,1.1,3.5,0.035,-3,-1.2
"452",12,659,11480,4475,2649,627,17.4,6.8,4,1,27.6,0.115,-0.1,5.6
"453",13,615,17975,7357,1988,2083,29.2,12,3.2,3.4,43.9,0.117,1,13.5
"454",14,534,13324,5889,2452,623,25,11,4.6,1.2,9.9,0.036,-3.6,-5.3
"455",15,541,10617,2960,2874,244,19.6,5.5,5.3,0.5,28.6,0.129,-0.3,4.4
"456",16,729,18176,5342,1785,4481,24.9,7.3,2.4,6.1,32.6,0.086,0.3,10.5
"457",17,54,866,256,120,26,16,4.7,2.2,0.5,0.1,0.007,-4,-0.4
"459",19,506,8372,2222,2351,220,16.5,4.4,4.6,0.4,26.6,0.153,-0.6,2.9
"461",21,494,13752,4478,1574,1129,27.8,9.1,3.2,2.3,24.5,0.085,-0.2,6.1
"462",22,60,809,373,73,46,13.5,6.2,1.2,0.8,0.1,0.009,-4,-0.4
"463",23,755,16790,7344,2347,1945,22.2,9.7,3.1,2.6,31.4,0.09,0.4,10
"464",24,72,1234,380,88,121,17.1,5.3,1.2,1.7,-1.6,-0.064,-6.3,-1.3
"465",25,208,2253,560,432,60,10.8,2.7,2.1,0.3,3.2,0.067,-4.4,-1.4
"466",26,142,1973,729,200,124,13.9,5.1,1.4,0.9,1.5,0.036,-1.1,0.4
"467",27,776,12658,3463,1028,1919,16.3,4.5,1.3,2.5,15.4,0.058,-3.4,-4.5
"468",28,45,449,130,97,39,10,2.9,2.2,0.9,-0.8,-0.08,-6.1,-0.5
"471",31,48,399,120,67,29,8.3,2.5,1.4,0.6,0.6,0.07,-2,0
"472",32,19,92,49,16,0,4.8,2.6,0.8,0,0,0.008,-6.6,-0.1
"474",34,39,395,128,68,34,10.1,3.3,1.7,0.9,0.1,0.013,-3.5,-0.2
"476",36,23,103,59,14,3,4.5,2.6,0.6,0.1,0,0.008,-1,0
"477",37,387,7572,3238,1655,311,19.6,8.4,4.3,0.8,13,0.082,-2.7,-1.4
"478",38,54,632,275,105,36,11.7,5.1,1.9,0.7,0.3,0.02,-3.3,-0.2
"479",39,793,15552,4432,1358,2274,19.6,5.6,1.7,2.9,23.2,0.072,-1.5,2
"482",42,858,27398,12976,3328,2634,31.9,15.1,3.9,3.1,36.1,0.063,-0.4,11.2
"484",44,260,6182,1885,755,419,23.8,7.3,2.9,1.6,3.3,0.026,-2.8,-1.3
"485",45,20,146,61,7,36,7.3,3.1,0.4,1.8,-0.1,-0.049,-6.2,-0.2
"486",46,104,2300,716,216,108,22.1,6.9,2.1,1,0.1,0.002,-3.5,-0.9
"487",47,460,12610,4161,1140,1877,27.4,9,2.5,4.1,21.7,0.082,-0.4,4.9
"490",50,252,3985,1654,547,154,15.8,6.6,2.2,0.6,6.5,0.078,-2.6,-0.6
"491",51,80,740,265,56,127,9.3,3.3,0.7,1.6,0.5,0.034,-1.9,0
"494",54,605,13981,4941,2784,513,23.1,8.2,4.6,0.8,18.8,0.065,-2.7,-2.5
"499",2,1001,33962,14698,3103,5517,33.9,14.7,3.1,5.5,73.2,0.104,0.8,23.8
"500",3,563,14545,5690,3423,606,25.8,10.1,6.1,1.1,39.4,0.13,0.7,9.8
