"","total_games_played","overall_pick","pick_bucket","educational_prestige","team_conference"
"1389",556,7,"Lottery","PowerSchool","Western"
"1390",683,8,"Lottery","OtherCollege","Eastern"
"1391",498,9,"Lottery","OtherCollege","Western"
"1392",590,10,"Lottery","OtherCollege","Western"
"1393",391,11,"Lottery","OtherCollege","Eastern"
"1394",664,12,"Lottery","OtherCollege","Western"
"1395",610,13,"Lottery","OtherCollege","Western"
"1396",278,14,"Lottery","PowerSchool","Western"
"1397",656,15,"MidtoLateFirst","NonCollegiate","Eastern"
"1398",141,16,"MidtoLateFirst","NonCollegiate","Eastern"
"1399",621,17,"MidtoLateFirst","NonCollegiate","Eastern"
"1400",256,18,"MidtoLateFirst","OtherCollege","Eastern"
"1401",95,19,"MidtoLateFirst","NonCollegiate","Eastern"
"1402",601,20,"MidtoLateFirst","OtherCollege","Eastern"
"1403",597,21,"MidtoLateFirst","PowerSchool","Western"
"1404",661,22,"MidtoLateFirst","PowerSchool","Eastern"
"1405",448,23,"MidtoLateFirst","OtherCollege","Eastern"
"1406",586,24,"MidtoLateFirst","OtherCollege","Eastern"
"1407",434,25,"MidtoLateFirst","OtherCollege","Western"
"1408",307,26,"MidtoLateFirst","OtherCollege","Western"
"1409",611,27,"MidtoLateFirst","NonCollegiate","Western"
"1411",165,29,"MidtoLateFirst","PowerSchool","Western"
"1412",24,30,"MidtoLateFirst","NonCollegiate","Western"
"1413",381,31,"SecondRound","OtherCollege","Eastern"
"1414",174,32,"SecondRound","NonCollegiate","Western"
"1415",7,33,"SecondRound","OtherCollege","Eastern"
"1416",235,34,"SecondRound","OtherCollege","Western"
"1417",16,35,"SecondRound","OtherCollege","Eastern"
"1418",154,36,"SecondRound","OtherCollege","Western"
"1419",21,37,"SecondRound","OtherCollege","Eastern"
"1420",84,38,"SecondRound","OtherCollege","Eastern"
"1421",206,39,"SecondRound","PowerSchool","Western"
"1422",8,40,"SecondRound","OtherCollege","Western"
"1423",24,41,"SecondRound","OtherCollege","Western"
"1424",8,42,"SecondRound","OtherCollege","Eastern"
"1425",28,43,"SecondRound","OtherCollege","Eastern"
"1426",432,44,"SecondRound","OtherCollege","Western"
"1428",52,46,"SecondRound","OtherCollege","Western"
"1429",387,47,"SecondRound","NonCollegiate","Eastern"
"1430",163,48,"SecondRound","PowerSchool","Western"
"1431",24,49,"SecondRound","OtherCollege","Eastern"
"1432",395,50,"SecondRound","OtherCollege","Eastern"
"1434",103,52,"SecondRound","OtherCollege","Western"
"1437",208,55,"SecondRound","NonCollegiate","Western"
"1438",24,56,"SecondRound","PowerSchool","Eastern"
"1443",598,1,"Top5","PowerSchool","Eastern"
"1444",310,2,"Top5","PowerSchool","Eastern"
"1445",328,3,"Top5","PowerSchool","Eastern"
"1446",528,4,"Top5","OtherCollege","Eastern"
"1447",245,5,"Top5","NonCollegiate","Western"
"1448",520,6,"Lottery","OtherCollege","Eastern"
"1449",518,7,"Lottery","PowerSchool","Western"
"1450",343,8,"Lottery","OtherCollege","Western"
"1451",339,9,"Lottery","PowerSchool","Western"
"1452",500,10,"Lottery","OtherCollege","Eastern"
"1453",527,11,"Lottery","OtherCollege","Western"
"1454",356,12,"Lottery","NonCollegiate","Eastern"
"1455",478,13,"Lottery","PowerSchool","Western"
"1456",332,14,"Lottery","OtherCollege","Western"
"1457",107,15,"MidtoLateFirst","OtherCollege","Eastern"
"1458",411,16,"MidtoLateFirst","NonCollegiate","Eastern"
"1459",95,17,"MidtoLateFirst","PowerSchool","Eastern"
"1460",186,18,"MidtoLateFirst","OtherCollege","Western"
"1461",468,19,"MidtoLateFirst","OtherCollege","Eastern"
"1462",105,20,"MidtoLateFirst","NonCollegiate","Eastern"
"1463",52,21,"MidtoLateFirst","OtherCollege","Western"
"1464",32,22,"MidtoLateFirst","PowerSchool","Western"
"1465",448,23,"MidtoLateFirst","PowerSchool","Western"
"1466",345,24,"MidtoLateFirst","PowerSchool","Western"
"1467",471,25,"MidtoLateFirst","NonCollegiate","Western"
"1468",111,26,"MidtoLateFirst","OtherCollege","Eastern"
"1469",316,27,"MidtoLateFirst","NonCollegiate","Western"
"1470",66,28,"MidtoLateFirst","OtherCollege","Western"
"1471",76,29,"MidtoLateFirst","OtherCollege","Western"
"1472",505,30,"MidtoLateFirst","PowerSchool","Western"
"1473",20,31,"SecondRound","NonCollegiate","Eastern"
"1474",148,32,"SecondRound","OtherCollege","Eastern"
"1475",414,33,"SecondRound","OtherCollege","Eastern"
"1476",56,34,"SecondRound","OtherCollege","Eastern"
"1477",28,35,"SecondRound","OtherCollege","Western"
"1478",147,36,"SecondRound","OtherCollege","Eastern"
"1480",387,38,"SecondRound","OtherCollege","Eastern"
"1481",555,39,"SecondRound","OtherCollege","Eastern"
"1482",304,40,"SecondRound","OtherCollege","Western"
"1483",527,41,"SecondRound","NonCollegiate","Western"
"1484",28,42,"SecondRound","OtherCollege","Western"
"1485",13,43,"SecondRound","NonCollegiate","Eastern"
"1486",113,44,"SecondRound","OtherCollege","Western"
"1487",511,45,"SecondRound","OtherCollege","Western"
"1488",600,46,"SecondRound","OtherCollege","Eastern"
"1489",27,47,"SecondRound","PowerSchool","Eastern"
"1490",40,48,"SecondRound","OtherCollege","Eastern"
"1491",36,49,"SecondRound","OtherCollege","Eastern"
"1493",127,51,"SecondRound","NonCollegiate","Eastern"
"1497",64,55,"SecondRound","OtherCollege","Eastern"
"1498",44,56,"SecondRound","OtherCollege","Western"
"1500",123,58,"SecondRound","OtherCollege","Western"
"1502",58,60,"SecondRound","OtherCollege","Western"
"1503",482,1,"Top5","PowerSchool","Western"
"1504",424,2,"Top5","OtherCollege","Western"
"1505",247,3,"Top5","PowerSchool","Eastern"
"1506",337,4,"Top5","NonCollegiate","Eastern"
"1507",330,5,"Top5","NonCollegiate","Eastern"
"1508",422,6,"Lottery","PowerSchool","Western"
"1509",302,7,"Lottery","NonCollegiate","Western"
"1510",419,8,"Lottery","OtherCollege","Eastern"
"1511",377,9,"Lottery","OtherCollege","Eastern"
"1512",315,10,"Lottery","PowerSchool","Eastern"
"1513",431,11,"Lottery","OtherCollege","Eastern"
"1514",449,12,"Lottery","PowerSchool","Western"
"1515",477,13,"Lottery","PowerSchool","Western"
"1516",279,14,"Lottery","OtherCollege","Western"
"1517",479,15,"MidtoLateFirst","PowerSchool","Eastern"
"1518",477,16,"MidtoLateFirst","PowerSchool","Eastern"
"1519",139,17,"MidtoLateFirst","OtherCollege","Eastern"
"1520",201,18,"MidtoLateFirst","OtherCollege","Western"
"1521",279,19,"MidtoLateFirst","OtherCollege","Eastern"
"1522",411,20,"MidtoLateFirst","OtherCollege","Eastern"
