"","total_games_played","overall_pick","pick_bucket","educational_prestige","team_conference"
"1785",119,43,"SecondRound","OtherCollege","Western"
"1786",53,44,"SecondRound","OtherCollege","Eastern"
"1787",109,45,"SecondRound","OtherCollege","Eastern"
"1788",131,46,"SecondRound","OtherCollege","Eastern"
"1789",64,47,"SecondRound","OtherCollege","Western"
"1790",189,48,"SecondRound","OtherCollege","Western"
"1791",42,49,"SecondRound","OtherCollege","Western"
"1792",37,50,"SecondRound","OtherCollege","Eastern"
"1793",40,51,"SecondRound","OtherCollege","Eastern"
"1794",118,52,"SecondRound","OtherCollege","Eastern"
"1795",4,53,"SecondRound","OtherCollege","Western"
"1796",4,54,"SecondRound","OtherCollege","Eastern"
"1797",53,55,"SecondRound","OtherCollege","Eastern"
"1799",24,57,"SecondRound","OtherCollege","Western"
"1800",80,58,"SecondRound","OtherCollege","Western"
"1801",6,59,"SecondRound","OtherCollege","Eastern"
"1803",144,1,"Top5","OtherCollege","Western"
"1804",39,2,"Top5","OtherCollege","Western"
"1805",126,3,"Top5","NonCollegiate","Eastern"
"1806",88,4,"Top5","OtherCollege","Eastern"
"1807",134,5,"Top5","OtherCollege","Eastern"
"1808",98,6,"Lottery","OtherCollege","Eastern"
"1809",92,7,"Lottery","NonCollegiate","Eastern"
"1810",134,8,"Lottery","OtherCollege","Eastern"
"1811",136,9,"Lottery","NonCollegiate","Eastern"
"1812",78,10,"Lottery","OtherCollege","Western"
"1813",133,11,"Lottery","OtherCollege","Western"
"1814",135,12,"Lottery","OtherCollege","Western"
"1815",78,13,"Lottery","OtherCollege","Western"
"1816",98,14,"Lottery","OtherCollege","Eastern"
"1817",112,15,"MidtoLateFirst","OtherCollege","Eastern"
"1818",139,16,"MidtoLateFirst","OtherCollege","Western"
"1819",106,17,"MidtoLateFirst","NonCollegiate","Western"
"1820",106,18,"MidtoLateFirst","OtherCollege","Western"
"1821",152,19,"MidtoLateFirst","PowerSchool","Eastern"
"1822",134,20,"MidtoLateFirst","OtherCollege","Eastern"
"1823",136,21,"MidtoLateFirst","PowerSchool","Eastern"
"1824",83,22,"MidtoLateFirst","OtherCollege","Western"
"1825",35,23,"MidtoLateFirst","NonCollegiate","Eastern"
"1826",115,24,"MidtoLateFirst","NonCollegiate","Eastern"
"1827",142,25,"MidtoLateFirst","PowerSchool","Western"
"1828",137,26,"MidtoLateFirst","OtherCollege","Eastern"
"1829",32,27,"MidtoLateFirst","PowerSchool","Western"
"1830",133,28,"MidtoLateFirst","OtherCollege","Western"
"1831",91,29,"MidtoLateFirst","OtherCollege","Eastern"
"1832",144,30,"MidtoLateFirst","OtherCollege","Eastern"
"1833",13,31,"SecondRound","OtherCollege","Western"
"1834",26,32,"SecondRound","PowerSchool","Eastern"
"1835",33,33,"SecondRound","OtherCollege","Western"
"1836",116,34,"SecondRound","NonCollegiate","Eastern"
"1837",112,35,"SecondRound","OtherCollege","Western"
"1838",18,36,"SecondRound","OtherCollege","Eastern"
"1839",30,37,"SecondRound","NonCollegiate","Eastern"
"1840",85,38,"SecondRound","OtherCollege","Western"
"1841",54,39,"SecondRound","OtherCollege","Western"
"1842",25,40,"SecondRound","OtherCollege","Western"
"1843",106,41,"SecondRound","PowerSchool","Western"
"1844",68,42,"SecondRound","PowerSchool","Western"
"1845",32,43,"SecondRound","OtherCollege","Western"
"1846",9,44,"SecondRound","NonCollegiate","Eastern"
"1847",92,45,"SecondRound","PowerSchool","Eastern"
"1848",88,46,"SecondRound","OtherCollege","Western"
"1850",30,48,"SecondRound","OtherCollege","Western"
"1851",96,49,"SecondRound","OtherCollege","Eastern"
"1852",61,50,"SecondRound","OtherCollege","Eastern"
"1854",124,52,"SecondRound","NonCollegiate","Western"
"1855",29,53,"SecondRound","OtherCollege","Western"
"1856",33,54,"SecondRound","PowerSchool","Eastern"
"1857",22,55,"SecondRound","OtherCollege","Eastern"
"1858",7,56,"SecondRound","OtherCollege","Eastern"
"1859",36,57,"SecondRound","OtherCollege","Western"
"1860",64,58,"SecondRound","OtherCollege","Eastern"
"1861",13,59,"SecondRound","OtherCollege","Eastern"
"1862",36,60,"SecondRound","OtherCollege","Western"
"1863",64,1,"Top5","OtherCollege","Eastern"
"1864",67,2,"Top5","NonCollegiate","Western"
"1865",69,3,"Top5","OtherCollege","Eastern"
"1866",74,4,"Top5","OtherCollege","Eastern"
"1867",48,5,"Top5","OtherCollege","Eastern"
"1868",54,6,"Lottery","NonCollegiate","Western"
"1869",70,7,"Lottery","NonCollegiate","Western"
"1870",79,8,"Lottery","OtherCollege","Eastern"
"1871",75,9,"Lottery","OtherCollege","Western"
"1872",62,10,"Lottery","OtherCollege","Western"
"1873",31,11,"Lottery","PowerSchool","Eastern"
"1874",50,12,"Lottery","OtherCollege","Western"
"1875",55,13,"Lottery","OtherCollege","Eastern"
"1876",52,14,"Lottery","OtherCollege","Western"
"1877",77,15,"MidtoLateFirst","OtherCollege","Eastern"
"1878",72,16,"MidtoLateFirst","NonCollegiate","Western"
"1879",62,17,"MidtoLateFirst","OtherCollege","Western"
"1880",60,18,"MidtoLateFirst","OtherCollege","Western"
"1881",21,19,"MidtoLateFirst","OtherCollege","Eastern"
"1882",22,20,"MidtoLateFirst","PowerSchool","Eastern"
"1883",37,21,"MidtoLateFirst","OtherCollege","Eastern"
"1884",36,22,"MidtoLateFirst","PowerSchool","Western"
"1885",24,23,"MidtoLateFirst","NonCollegiate","Western"
"1886",74,24,"MidtoLateFirst","OtherCollege","Western"
"1887",46,25,"MidtoLateFirst","OtherCollege","Western"
"1888",69,26,"MidtoLateFirst","OtherCollege","Western"
"1889",67,27,"MidtoLateFirst","OtherCollege","Eastern"
"1890",2,28,"MidtoLateFirst","OtherCollege","Eastern"
"1891",32,29,"MidtoLateFirst","OtherCollege","Western"
"1892",32,30,"MidtoLateFirst","OtherCollege","Western"
"1893",12,31,"SecondRound","NonCollegiate","Eastern"
"1894",49,32,"SecondRound","PowerSchool","Eastern"
"1897",78,35,"SecondRound","OtherCollege","Western"
"1898",40,36,"SecondRound","OtherCollege","Western"
"1899",33,37,"SecondRound","OtherCollege","Eastern"
"1900",77,38,"SecondRound","OtherCollege","Eastern"
"1901",14,39,"SecondRound","OtherCollege","Western"
"1902",42,40,"SecondRound","OtherCollege","Western"
"1903",29,41,"SecondRound","OtherCollege","Western"
"1904",19,42,"SecondRound","OtherCollege","Eastern"
"1905",48,43,"SecondRound","OtherCollege","Western"
"1906",48,44,"SecondRound","OtherCollege","Eastern"
"1908",64,46,"SecondRound","OtherCollege","Eastern"
"1909",2,47,"SecondRound","PowerSchool","Eastern"
"1910",13,48,"SecondRound","OtherCollege","Eastern"
"1913",51,51,"SecondRound","PowerSchool","Western"
"1914",32,52,"SecondRound","OtherCollege","Eastern"
"1915",23,53,"SecondRound","OtherCollege","Eastern"
"1916",41,54,"SecondRound","OtherCollege","Eastern"
"1917",50,55,"SecondRound","OtherCollege","Western"
"1918",2,56,"SecondRound","OtherCollege","Eastern"
"1920",41,58,"SecondRound","OtherCollege","Eastern"
"1922",13,60,"SecondRound","NonCollegiate","Eastern"
